LA Clippers,San Antonio,time_rem
30-16,22-20,48M 0S
0,0,47M 40S
2,0,47M 25S
Jump ball: D. Murray vs. R. Jackson (P. George gains possession),NA,47M 13S
2,2,47M 6S
2,4,46M 44S
3,4,46M 28S
4,4,46M 28S
4,5,45M 55S
6,5,45M 33S
6,7,45M 16S
9,7,45M 0S
11,7,44M 30S
11,9,44M 13S
13,9,43M 55S
15,9,43M 20S
15,11,43M 1S
15,12,43M 1S
17,12,42M 42S
17,15,41M 38S
17,16,41M 6S
17,17,41M 6S
20,17,40M 44S
20,20,39M 58S
22,20,38M 56S
23,20,38M 56S
24,20,38M 33S
25,20,38M 33S
25,22,38M 17S
25,24,37M 43S
26,24,37M 19S
27,24,37M 19S
27,27,37M 4S
30,27,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,29,35M 31S
33,29,35M 13S
33,31,34M 55S
33,33,34M 24S
35,33,34M 1S
35,34,33M 39S
35,35,33M 39S
35,37,33M 13S
38,37,32M 37S
38,40,32M 23S
40,40,29M 53S
43,40,29M 13S
43,42,28M 59S
45,42,28M 44S
47,42,28M 17S
47,44,28M 0S
47,47,27M 35S
47,49,26M 39S
49,49,26M 22S
49,50,26M 2S
49,53,25M 4S
49,55,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,58,23M 50S
52,58,23M 34S
52,59,22M 17S
54,59,22M 3S
56,59,21M 39S
56,61,20M 45S
59,61,20M 6S
59,63,18M 51S
60,63,18M 4S
61,63,18M 4S
63,63,17M 18S
63,65,16M 6S
64,65,15M 30S
65,65,15M 30S
68,65,14M 37S
68,68,14M 12S
70,68,13M 43S
72,68,13M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,68,11M 21S
75,68,11M 21S
75,70,11M 1S
75,71,11M 1S
75,73,10M 31S
77,73,10M 9S
77,75,9M 48S
80,75,9M 30S
80,77,8M 46S
80,79,7M 18S
82,79,7M 0S
85,79,6M 15S
86,79,5M 11S
86,81,4M 22S
86,83,3M 58S
88,83,3M 42S
91,83,2M 26S
92,83,1M 43S
93,83,1M 43S
93,84,1M 36S
93,85,1M 36S
94,85,1M 31S
95,85,1M 31S
98,85,1M 1S
End of 4th quarter,NA,0S
