Orlando,Denver,time_rem
17-33,31-18,48M 0S
2,0,47M 50S
5,0,47M 8S
5,2,46M 51S
5,5,45M 48S
7,5,45M 16S
7,7,44M 31S
7,9,43M 59S
9,9,43M 37S
9,11,43M 15S
9,12,43M 15S
12,12,43M 4S
12,14,42M 46S
12,16,42M 10S
14,16,41M 50S
17,16,41M 16S
20,16,40M 8S
20,18,39M 47S
23,18,39M 31S
25,18,39M 11S
25,20,38M 27S
26,20,38M 16S
28,20,36M 51S
29,20,36M 51S
29,23,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,23,34M 41S
32,25,34M 21S
34,25,33M 57S
37,25,33M 35S
38,25,33M 35S
40,25,32M 57S
40,26,32M 41S
40,27,32M 41S
43,27,32M 26S
43,29,32M 7S
45,29,31M 52S
46,29,31M 52S
46,31,31M 33S
46,32,31M 33S
48,32,31M 22S
48,33,30M 51S
48,34,30M 51S
50,34,30M 37S
50,36,29M 42S
50,38,28M 55S
50,40,27M 44S
52,40,27M 19S
52,41,27M 18S
52,44,27M 7S
54,44,26M 43S
54,47,26M 32S
56,47,26M 9S
58,47,25M 44S
60,47,25M 0S
63,47,24M 31S
65,47,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,50,23M 49S
65,52,23M 29S
67,52,22M 7S
67,54,21M 52S
67,55,21M 52S
67,57,21M 15S
70,57,21M 2S
70,59,20M 39S
71,59,20M 10S
72,59,20M 10S
72,61,19M 30S
74,61,19M 12S
74,63,18M 51S
74,65,18M 30S
74,66,18M 30S
77,66,18M 20S
77,69,18M 3S
80,69,17M 28S
80,71,17M 15S
80,73,16M 13S
80,75,15M 50S
80,76,15M 9S
80,77,15M 9S
81,77,14M 37S
82,77,14M 37S
82,78,14M 2S
82,79,14M 2S
84,79,13M 48S
84,81,13M 32S
84,82,13M 32S
84,83,12M 33S
84,85,12M 18S
86,85,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,85,11M 42S
87,87,11M 33S
87,88,11M 33S
89,88,11M 17S
89,90,10M 58S
90,90,10M 14S
91,90,10M 14S
91,91,9M 31S
94,91,9M 11S
94,93,8M 52S
94,95,7M 57S
94,96,7M 34S
96,96,7M 14S
96,99,7M 0S
98,99,6M 3S
100,99,5M 24S
100,101,4M 49S
102,101,4M 27S
102,103,4M 8S
102,105,3M 37S
104,105,3M 19S
104,106,3M 2S
104,107,3M 2S
104,110,2M 25S
104,112,1M 30S
104,115,56S
106,115,50S
106,116,41S
106,117,41S
108,117,30S
109,117,30S
109,118,25S
109,119,25S
End of 4th quarter,NA,0S
