New York,Atlanta,time_rem
4-3,4-3,48M 0S
2,0,47M 39S
2,2,46M 57S
4,2,46M 36S
4,5,46M 25S
6,5,46M 10S
6,6,46M 2S
6,7,46M 2S
Jump ball: R. Barrett vs. T. Young (J. Randle gains possession),NA,45M 10S
8,7,45M 1S
10,7,44M 30S
10,9,44M 19S
12,9,43M 53S
12,11,43M 5S
14,11,42M 35S
16,11,42M 11S
17,11,42M 11S
17,14,42M 0S
18,14,41M 47S
20,14,41M 32S
22,14,40M 35S
24,14,40M 19S
24,16,40M 2S
24,18,39M 34S
24,19,39M 34S
24,21,39M 13S
26,21,38M 53S
26,24,38M 28S
26,27,38M 4S
28,27,37M 20S
28,29,36M 42S
31,29,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,31,35M 6S
32,31,35M 6S
34,31,34M 49S
34,32,34M 33S
34,33,34M 33S
36,33,33M 48S
38,33,33M 13S
38,36,32M 54S
40,36,31M 43S
40,37,31M 25S
40,38,31M 25S
42,38,31M 11S
42,40,30M 13S
43,40,29M 38S
44,40,29M 38S
44,41,29M 31S
46,41,29M 10S
48,41,28M 46S
48,43,28M 28S
50,43,28M 16S
50,45,28M 1S
50,47,27M 35S
52,47,27M 13S
52,49,26M 49S
52,51,26M 16S
52,53,25M 51S
52,55,25M 15S
54,55,24M 52S
54,58,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,60,23M 42S
56,60,23M 22S
56,63,23M 2S
58,63,22M 7S
58,65,21M 51S
60,65,21M 33S
60,67,21M 21S
60,68,20M 59S
60,71,20M 52S
60,73,20M 29S
61,73,19M 48S
62,73,19M 48S
62,74,18M 57S
62,75,18M 57S
64,75,18M 35S
64,77,18M 24S
65,77,17M 54S
66,77,17M 54S
66,80,17M 33S
67,80,17M 6S
67,82,16M 47S
68,82,16M 37S
70,82,15M 58S
71,82,15M 51S
71,83,15M 37S
71,84,15M 37S
74,84,14M 15S
74,86,13M 53S
77,86,13M 34S
77,88,13M 14S
79,88,12M 46S
81,88,12M 31S
84,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,88,11M 45S
86,89,10M 25S
86,90,10M 25S
88,90,10M 5S
88,92,9M 50S
91,92,9M 24S
91,93,8M 45S
93,93,8M 35S
94,93,8M 35S
96,93,7M 49S
96,94,7M 34S
96,95,7M 34S
99,95,7M 20S
99,97,7M 7S
99,99,6M 19S
101,99,4M 30S
101,101,4M 22S
102,101,3M 52S
103,101,3M 52S
104,101,2M 34S
105,101,2M 34S
106,101,2M 34S
106,103,2M 27S
107,103,1M 47S
107,106,1M 40S
110,106,1M 25S
112,106,46S
112,108,23S
113,108,10S
End of 4th quarter,NA,0S
