Minnesota,Utah,time_rem
17-44,44-16,48M 0S
0,0,47M 47S
0,3,47M 27S
2,3,47M 20S
2,5,47M 1S
2,7,46M 37S
5,7,46M 21S
5,8,45M 37S
5,9,45M 37S
7,9,44M 41S
7,12,44M 35S
10,12,43M 55S
10,14,43M 30S
10,17,43M 4S
10,20,42M 29S
10,23,42M 8S
12,23,41M 43S
15,23,41M 16S
16,23,40M 48S
16,25,40M 37S
16,28,40M 3S
16,31,39M 40S
16,33,38M 54S
18,33,38M 36S
20,33,38M 9S
20,36,38M 3S
21,36,37M 10S
23,36,36M 53S
23,39,36M 32S
26,39,36M 23S
26,40,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,40,35M 41S
29,40,35M 8S
30,40,33M 19S
30,42,32M 56S
32,42,32M 38S
32,44,32M 25S
32,45,32M 25S
34,45,32M 6S
34,48,31M 23S
36,48,30M 59S
36,51,30M 51S
38,51,30M 7S
38,52,29M 1S
40,52,28M 50S
40,54,28M 28S
40,56,27M 57S
43,56,27M 24S
45,56,26M 46S
47,56,26M 24S
48,56,26M 6S
50,56,25M 26S
50,57,25M 6S
50,58,25M 6S
52,58,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,58,23M 47S
57,58,23M 18S
57,61,22M 48S
59,61,21M 32S
60,61,21M 32S
62,61,20M 30S
62,63,20M 20S
65,63,18M 45S
67,63,18M 9S
69,63,17M 32S
69,65,17M 15S
72,65,16M 53S
72,68,16M 30S
75,68,16M 18S
75,69,15M 39S
75,71,15M 18S
77,71,13M 21S
78,71,13M 21S
80,71,12M 55S
80,73,12M 42S
80,74,12M 42S
82,74,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,76,11M 42S
Jump ball: N. Reid vs. R. Gobert (D. Russell gains possession),NA,10M 57S
84,76,10M 17S
84,79,9M 57S
84,80,9M 42S
84,81,9M 42S
86,81,9M 17S
88,81,8M 16S
90,81,7M 37S
92,81,7M 6S
92,84,6M 57S
92,87,5M 55S
92,90,4M 36S
92,93,3M 41S
94,93,2M 31S
96,93,1M 17S
97,93,15S
98,93,9S
99,93,9S
99,96,7S
100,96,6S
101,96,6S
End of 4th quarter,NA,0S
