Phoenix,Denver,time_rem
4-0,0-4,48M 0S
0,2,47M 42S
3,2,46M 53S
5,2,45M 51S
7,2,45M 10S
7,4,44M 44S
8,4,44M 32S
9,4,44M 32S
11,4,44M 3S
11,6,43M 48S
11,7,43M 12S
11,8,43M 12S
13,8,43M 1S
13,10,42M 32S
15,10,42M 13S
18,10,41M 54S
19,10,41M 17S
20,10,41M 17S
20,13,41M 6S
22,13,40M 49S
22,15,40M 34S
22,18,39M 47S
24,18,38M 58S
25,18,38M 58S
28,18,38M 21S
28,20,37M 4S
28,22,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,24,35M 35S
31,24,35M 16S
32,24,34M 22S
33,24,34M 22S
33,27,33M 57S
36,27,33M 42S
36,30,33M 25S
36,32,32M 38S
39,32,32M 19S
40,32,30M 54S
41,32,30M 54S
41,34,30M 43S
41,36,30M 14S
43,36,30M 1S
43,38,29M 26S
43,39,29M 26S
43,41,29M 13S
Jump ball: D. Ayton vs. N. Jokić (C. Paul gains possession),NA,28M 47S
46,41,28M 38S
46,43,28M 14S
47,43,28M 0S
48,43,28M 0S
50,43,27M 37S
50,44,27M 20S
50,46,26M 50S
52,46,26M 34S
52,48,26M 21S
53,48,26M 6S
54,48,26M 6S
54,51,25M 55S
57,51,25M 31S
57,52,25M 12S
57,53,25M 12S
59,53,25M 1S
59,55,24M 52S
60,55,24M 36S
61,55,24M 36S
63,55,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,58,23M 43S
65,58,23M 22S
65,60,23M 4S
65,63,22M 42S
67,63,22M 27S
69,63,21M 57S
71,63,21M 26S
71,65,20M 45S
71,67,20M 5S
71,70,19M 46S
73,70,19M 25S
75,70,19M 8S
75,72,18M 49S
77,72,18M 32S
79,72,17M 48S
79,75,17M 33S
81,75,16M 48S
83,75,16M 16S
83,76,15M 52S
84,76,15M 52S
85,76,15M 52S
85,78,15M 30S
87,78,15M 9S
89,78,14M 46S
91,78,14M 17S
93,78,13M 49S
93,80,13M 31S
94,80,12M 52S
95,80,12M 52S
96,80,12M 52S
96,83,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,86,11M 49S
97,86,10M 51S
97,87,10M 38S
97,88,10M 38S
97,90,10M 4S
99,90,9M 48S
99,93,9M 36S
101,93,8M 57S
101,96,8M 28S
101,97,8M 1S
103,97,7M 41S
105,97,7M 8S
105,99,6M 41S
107,99,6M 24S
107,101,5M 37S
108,101,5M 15S
109,101,5M 15S
109,103,5M 4S
111,103,3M 17S
112,103,3M 17S
114,103,2M 56S
114,105,2M 8S
114,106,2M 3S
114,107,2M 3S
116,107,1M 43S
118,107,1M 37S
118,108,1M 29S
118,109,1M 29S
118,111,1M 4S
120,111,38S
120,113,32S
121,113,26S
121,116,22S
122,116,18S
123,116,18S
123,118,14S
124,118,12S
125,118,12S
End of 4th quarter,NA,0S
