Memphis,Detroit,time_rem
33-33,20-47,48M 0S
2,0,47M 45S
2,2,47M 2S
2,4,46M 40S
5,4,46M 2S
5,6,45M 34S
7,6,45M 18S
7,8,45M 7S
9,8,44M 54S
9,10,43M 55S
11,10,43M 39S
13,10,43M 6S
13,12,42M 44S
16,12,42M 24S
16,14,42M 9S
18,14,41M 49S
18,16,41M 16S
20,16,40M 36S
22,16,40M 15S
22,19,39M 45S
25,19,39M 34S
25,21,39M 17S
28,21,39M 3S
28,24,38M 50S
28,26,38M 7S
30,26,37M 2S
30,29,36M 51S
30,31,36M 21S
32,31,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,34,35M 22S
34,34,35M 9S
37,34,34M 37S
40,34,34M 2S
40,36,33M 28S
40,39,33M 13S
40,42,32M 11S
40,44,31M 43S
40,45,31M 12S
42,45,30M 23S
42,47,30M 1S
44,47,29M 5S
44,49,28M 13S
46,49,27M 23S
46,51,27M 6S
49,51,26M 45S
49,52,26M 30S
49,53,26M 30S
49,55,25M 48S
49,58,25M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,58,23M 31S
50,60,22M 44S
53,60,22M 24S
55,60,21M 46S
55,61,20M 51S
55,62,20M 51S
56,62,20M 34S
56,64,18M 53S
58,64,18M 45S
60,64,17M 44S
60,66,16M 53S
61,66,16M 24S
62,66,16M 24S
64,66,15M 39S
64,69,15M 24S
64,71,15M 4S
64,73,14M 39S
66,73,14M 25S
67,73,13M 33S
68,73,13M 33S
70,73,12M 59S
70,75,12M 42S
70,78,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,78,11M 44S
73,80,11M 3S
73,82,10M 50S
75,82,9M 58S
75,84,9M 35S
76,84,9M 24S
77,84,9M 24S
79,84,8M 53S
80,84,8M 53S
80,87,8M 36S
82,87,8M 7S
84,87,7M 40S
84,89,7M 12S
87,89,6M 58S
87,91,6M 23S
89,91,6M 8S
89,92,5M 48S
89,93,5M 48S
89,95,4M 52S
90,95,4M 26S
90,97,4M 9S
90,98,3M 50S
90,99,3M 50S
92,99,3M 30S
94,99,3M 2S
94,101,2M 43S
94,104,2M 9S
95,104,2M 0S
97,104,1M 36S
97,105,1M 35S
97,106,1M 35S
Jump ball: J. Jackson vs. I. Stewart (K. Anderson gains possession),NA,56S
97,108,47S
97,110,15S
97,111,15S
End of 4th quarter,NA,0S
