LA Lakers,Brooklyn,time_rem
33-20,36-17,48M 0S
2,0,47M 46S
2,2,47M 3S
5,2,46M 41S
8,2,46M 10S
11,2,45M 33S
11,4,45M 16S
13,4,45M 1S
13,7,44M 39S
14,7,44M 25S
16,7,44M 3S
18,7,43M 30S
18,9,43M 3S
18,11,42M 16S
19,11,41M 51S
20,11,41M 51S
20,12,41M 37S
20,13,41M 37S
22,13,40M 33S
22,15,40M 2S
23,15,39M 42S
23,18,39M 19S
25,18,38M 26S
25,20,38M 3S
27,20,37M 50S
29,20,37M 41S
29,23,37M 22S
29,24,36M 54S
29,25,36M 54S
31,25,36M 37S
32,25,36M 2S
33,25,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,27,35M 10S
36,27,34M 46S
36,29,34M 33S
38,29,34M 11S
38,30,34M 3S
38,31,34M 3S
41,31,33M 50S
41,32,33M 35S
41,33,33M 35S
43,33,32M 55S
43,35,32M 42S
43,38,31M 46S
45,38,31M 30S
47,38,31M 1S
47,39,30M 45S
48,39,30M 23S
49,39,30M 23S
49,41,29M 58S
49,43,29M 34S
49,44,29M 14S
49,45,29M 14S
49,47,29M 4S
52,47,28M 51S
52,50,28M 21S
52,52,28M 0S
52,54,27M 32S
52,56,26M 56S
54,56,26M 35S
56,56,26M 8S
58,56,25M 16S
61,56,24M 45S
61,58,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,60,23M 43S
63,60,23M 21S
64,60,23M 21S
64,62,23M 4S
66,62,22M 30S
69,62,21M 32S
69,64,20M 52S
71,64,20M 39S
71,65,20M 29S
71,66,20M 29S
71,67,20M 29S
72,67,20M 15S
73,67,20M 15S
73,69,19M 36S
76,69,19M 21S
79,69,18M 23S
81,69,17M 51S
81,71,17M 31S
84,71,16M 59S
86,71,16M 33S
88,71,16M 6S
88,73,15M 54S
88,75,15M 25S
88,76,14M 48S
88,77,14M 48S
89,77,13M 45S
92,77,13M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,77,11M 11S
98,77,10M 34S
98,78,10M 16S
98,79,10M 16S
98,80,9M 52S
98,81,9M 52S
98,83,9M 32S
100,83,9M 16S
103,83,8M 56S
105,83,8M 30S
107,83,8M 0S
109,83,6M 41S
109,85,6M 31S
109,87,6M 0S
111,87,5M 29S
111,88,5M 22S
111,89,5M 22S
111,91,4M 59S
111,92,4M 37S
111,94,4M 19S
114,94,3M 42S
117,94,3M 9S
119,94,2M 25S
120,94,2M 25S
120,95,2M 21S
123,95,2M 10S
123,96,1M 53S
123,97,1M 53S
123,99,1M 38S
126,99,1M 9S
126,101,1M 1S
End of 4th quarter,NA,0S
