LA Lakers,Indiana,time_rem
41-30,33-38,48M 0S
0,0,47M 42S
2,0,46M 57S
5,0,46M 21S
5,2,46M 7S
6,2,45M 45S
6,4,45M 33S
6,5,45M 33S
Jump ball: G. Bitadze vs. A. Drummond (O. Brissett gains possession),NA,45M 8S
6,8,44M 57S
8,8,44M 19S
8,9,43M 42S
10,9,43M 35S
10,11,43M 13S
13,11,43M 2S
15,11,42M 47S
15,12,42M 8S
18,12,41M 49S
18,15,41M 30S
19,15,40M 52S
19,17,40M 35S
20,17,40M 18S
21,17,40M 18S
23,17,39M 54S
25,17,39M 34S
25,19,39M 9S
27,19,38M 56S
29,19,38M 15S
29,21,37M 59S
31,21,37M 36S
31,23,37M 21S
34,23,37M 11S
34,25,37M 0S
34,28,36M 43S
36,28,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,30,35M 46S
38,30,35M 9S
38,31,34M 8S
38,32,34M 8S
40,32,33M 49S
40,34,33M 34S
40,36,33M 7S
40,38,32M 35S
41,38,32M 1S
42,38,32M 1S
43,38,31M 36S
44,38,31M 36S
45,38,31M 36S
47,38,31M 15S
49,38,30M 55S
49,40,30M 41S
49,43,30M 17S
49,46,29M 38S
50,46,27M 53S
51,46,27M 53S
52,46,27M 36S
52,48,27M 21S
53,48,26M 57S
54,48,26M 57S
54,50,26M 44S
56,50,26M 3S
56,51,25M 50S
56,52,25M 50S
58,52,25M 41S
59,52,25M 41S
61,52,25M 20S
62,52,25M 20S
62,54,25M 7S
62,56,24M 26S
64,56,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,56,23M 29S
66,58,23M 19S
66,60,22M 38S
66,63,21M 51S
67,63,21M 39S
68,63,21M 39S
68,65,21M 28S
70,65,21M 12S
72,65,20M 48S
73,65,20M 28S
74,65,20M 28S
74,68,20M 15S
76,68,19M 58S
76,70,19M 43S
78,70,19M 10S
78,72,18M 50S
78,74,18M 10S
81,74,17M 56S
81,75,17M 16S
84,75,17M 2S
86,75,16M 49S
86,77,16M 30S
88,77,16M 11S
88,79,15M 47S
91,79,15M 33S
91,81,15M 11S
93,81,14M 50S
93,83,14M 41S
93,84,14M 41S
93,86,14M 12S
95,86,13M 30S
96,86,12M 47S
96,88,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,88,11M 48S
101,88,10M 33S
101,90,10M 20S
104,90,10M 4S
104,92,9M 27S
104,94,8M 47S
105,94,8M 29S
106,94,8M 15S
107,94,8M 15S
107,96,8M 3S
110,96,7M 46S
110,97,7M 37S
111,97,7M 19S
111,100,6M 15S
111,102,5M 7S
111,104,4M 37S
111,105,3M 50S
111,106,3M 50S
111,108,3M 7S
114,108,2M 43S
116,108,2M 21S
116,110,2M 7S
118,110,1M 43S
118,113,1M 38S
119,113,16S
120,113,16S
120,114,10S
120,115,10S
121,115,6S
122,115,6S
End of 4th quarter,NA,0S
