LA Clippers,Phoenix,time_rem
5-2,5-2,48M 0S
0,0,47M 35S
3,0,47M 29S
3,3,47M 2S
3,5,46M 24S
5,5,46M 8S
8,5,45M 5S
9,5,44M 46S
10,5,44M 46S
10,7,44M 34S
13,7,43M 32S
16,7,43M 6S
18,7,42M 30S
18,9,42M 16S
18,11,41M 40S
20,11,41M 24S
20,13,41M 2S
21,13,40M 44S
21,15,40M 33S
21,16,40M 33S
23,16,40M 10S
23,18,39M 58S
25,18,39M 48S
25,20,39M 37S
27,20,39M 19S
27,22,38M 17S
29,22,38M 7S
29,24,37M 31S
31,24,37M 10S
34,24,36M 18S
37,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,24,35M 42S
42,24,35M 17S
43,24,35M 17S
45,24,34M 53S
47,24,34M 11S
50,24,33M 42S
52,24,33M 17S
52,26,32M 59S
55,26,32M 34S
55,28,32M 25S
57,28,31M 13S
57,29,31M 0S
60,29,30M 28S
60,30,30M 0S
60,31,30M 0S
60,33,29M 11S
60,36,28M 25S
60,38,27M 34S
62,38,27M 14S
62,40,26M 52S
62,41,25M 37S
63,41,25M 19S
64,41,25M 19S
64,44,25M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,46,23M 28S
66,46,23M 4S
67,46,22M 24S
68,46,22M 24S
68,48,21M 35S
68,50,20M 53S
71,50,20M 35S
71,51,20M 20S
71,52,20M 20S
73,52,20M 0S
73,53,19M 43S
73,54,19M 43S
75,54,19M 21S
75,57,19M 6S
75,60,18M 16S
77,60,17M 56S
77,61,17M 40S
77,62,17M 40S
79,62,17M 13S
79,64,16M 54S
82,64,16M 29S
82,67,16M 12S
84,67,15M 51S
84,68,15M 40S
84,69,15M 40S
85,69,15M 20S
85,71,14M 59S
85,72,14M 25S
85,74,14M 9S
88,74,14M 0S
88,77,13M 11S
88,78,12M 46S
88,81,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,83,11M 38S
88,86,11M 0S
90,86,10M 39S
90,89,10M 20S
93,89,10M 8S
93,91,9M 44S
96,91,9M 34S
96,92,9M 10S
96,93,9M 10S
96,94,9M 10S
98,94,8M 43S
99,94,5M 43S
100,94,5M 43S
100,96,5M 35S
101,96,5M 15S
102,96,5M 15S
104,96,4M 36S
104,97,3M 31S
104,98,3M 31S
107,98,3M 11S
107,100,2M 58S
107,102,2M 27S
107,104,1M 37S
110,104,11S
111,104,6S
112,104,6S
112,105,1S
112,106,1S
112,107,1S
End of 4th quarter,NA,0S
