Cleveland,Philadelphia,time_rem
13-21,22-12,48M 0S
0,0,47M 41S
2,0,46M 28S
2,2,46M 16S
5,2,45M 58S
7,2,45M 30S
7,4,45M 5S
9,4,44M 43S
9,6,44M 25S
9,8,44M 6S
11,8,43M 50S
13,8,43M 16S
13,10,42M 46S
13,12,42M 20S
15,12,42M 4S
15,15,41M 48S
17,15,40M 36S
19,15,40M 15S
20,15,40M 15S
20,16,39M 28S
20,17,39M 28S
22,17,39M 11S
22,19,38M 49S
23,19,38M 33S
24,19,38M 33S
26,19,37M 56S
26,20,37M 45S
26,21,37M 45S
26,22,37M 12S
26,23,37M 12S
27,23,36M 0S
28,23,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,23,35M 15S
30,23,35M 15S
32,23,34M 57S
32,25,34M 5S
35,25,33M 48S
37,25,33M 25S
37,27,33M 6S
39,27,32M 57S
39,30,32M 35S
39,32,31M 57S
41,32,31M 16S
44,32,30M 56S
44,33,30M 40S
44,34,30M 40S
47,34,30M 10S
47,35,29M 42S
47,37,29M 1S
49,37,28M 43S
50,37,27M 58S
50,38,27M 12S
50,39,27M 12S
51,39,27M 3S
52,39,27M 3S
52,42,26M 12S
52,43,25M 42S
52,44,25M 42S
54,44,25M 18S
54,46,24M 53S
56,46,24M 47S
56,47,24M 39S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,49,22M 27S
56,51,21M 7S
56,53,20M 28S
58,53,20M 5S
58,56,19M 43S
60,56,18M 44S
60,59,18M 7S
63,59,17M 31S
63,61,16M 52S
65,61,16M 39S
65,63,16M 28S
65,65,15M 16S
68,65,14M 52S
68,66,13M 40S
68,67,13M 40S
70,67,13M 27S
70,69,13M 12S
70,70,12M 6S
72,70,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,73,11M 38S
74,73,10M 51S
74,75,10M 34S
76,75,9M 28S
78,75,8M 58S
78,77,8M 45S
81,77,8M 12S
81,78,7M 26S
81,80,6M 40S
83,80,6M 22S
83,82,6M 5S
83,84,5M 26S
85,84,4M 41S
85,87,4M 25S
87,87,4M 8S
87,89,3M 45S
88,89,2M 29S
89,89,2M 29S
89,90,2M 18S
92,90,1M 46S
92,92,1M 38S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: J. Allen vs. J. Embiid (D. Wade gains possession),NA,5M 0S
94,92,4M 38S
95,92,4M 21S
97,92,3M 58S
97,94,3M 8S
97,95,3M 8S
99,95,2M 56S
99,96,2M 5S
101,96,1M 17S
101,97,1M 12S
103,97,42S
103,100,38S
104,100,35S
105,100,35S
106,100,27S
107,100,27S
107,103,23S
108,103,23S
108,105,18S
109,105,16S
110,105,16S
110,106,10S
111,106,9S
112,106,5S
112,109,2S
End of 1st overtime,NA,0S
