Toronto,Dallas,time_rem
27-44,42-29,48M 0S
0,3,47M 39S
3,3,47M 15S
3,5,46M 52S
3,8,46M 24S
5,8,46M 6S
5,9,45M 44S
5,10,45M 44S
5,11,43M 40S
5,12,43M 40S
8,12,43M 26S
10,12,42M 40S
10,14,42M 30S
12,14,42M 8S
12,15,41M 45S
12,16,41M 45S
12,18,41M 4S
14,18,40M 46S
14,20,40M 33S
16,20,38M 41S
16,23,38M 30S
18,23,38M 12S
18,26,37M 23S
20,26,37M 1S
20,29,36M 51S
23,29,36M 37S
26,29,36M 18S
26,31,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,33,35M 37S
28,33,35M 21S
29,33,34M 35S
30,33,34M 35S
32,33,34M 4S
32,36,33M 45S
32,39,33M 12S
34,39,33M 1S
36,39,32M 37S
36,42,32M 20S
39,42,31M 59S
39,44,31M 2S
41,44,30M 15S
41,47,30M 0S
41,50,29M 39S
41,53,29M 2S
43,53,28M 49S
43,55,28M 25S
44,55,28M 10S
44,57,27M 56S
44,60,27M 29S
44,61,26M 1S
46,61,25M 37S
46,63,25M 24S
48,63,25M 12S
51,63,24M 32S
52,63,24M 12S
52,66,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,68,23M 22S
54,68,22M 30S
54,71,22M 17S
57,71,21M 40S
57,72,21M 40S
57,73,21M 40S
57,74,20M 4S
57,75,20M 4S
57,76,20M 4S
59,76,19M 50S
61,76,19M 11S
61,77,18M 56S
61,78,18M 56S
64,78,18M 45S
64,79,18M 23S
64,82,18M 11S
66,82,17M 58S
66,84,17M 47S
68,84,17M 23S
69,84,17M 23S
72,84,16M 51S
72,86,16M 29S
74,86,16M 6S
75,86,15M 7S
76,86,15M 7S
76,88,14M 38S
76,90,14M 20S
76,92,13M 49S
79,92,13M 13S
82,92,12M 50S
83,92,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,94,11M 34S
85,94,11M 13S
86,94,11M 13S
88,94,9M 59S
88,96,9M 44S
88,98,7M 30S
88,100,6M 52S
90,100,6M 37S
92,100,6M 11S
92,102,5M 53S
94,102,5M 37S
97,102,4M 20S
97,105,3M 59S
99,105,3M 43S
102,105,2M 59S
102,108,2M 32S
102,110,1M 54S
103,110,1M 39S
104,110,1M 39S
106,110,53S
Jump ball: F. Gillespie vs. L. Dončić (K. Porziņģis gains possession),NA,13S
107,110,13S
108,110,13S
108,111,9S
108,112,9S
110,112,4S
110,113,3S
110,114,3S
End of 4th quarter,NA,0S
