Golden State,Houston,time_rem
21-20,11-28,48M 0S
0,0,47M 48S
2,0,47M 44S
4,0,47M 22S
5,0,47M 22S
5,1,46M 34S
5,2,46M 34S
8,2,46M 22S
8,5,46M 13S
10,5,46M 3S
10,7,45M 57S
13,7,45M 45S
13,8,45M 22S
13,9,45M 8S
13,12,44M 51S
13,14,44M 8S
16,14,43M 30S
18,14,43M 12S
18,16,42M 20S
18,19,41M 52S
18,20,41M 28S
18,21,41M 28S
19,21,40M 42S
20,21,40M 42S
22,21,40M 12S
25,21,39M 51S
27,21,39M 21S
29,21,38M 51S
29,23,38M 24S
29,25,36M 53S
29,27,36M 27S
31,27,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,27,35M 8S
34,29,33M 36S
37,29,33M 9S
37,32,32M 51S
39,32,32M 5S
41,32,31M 33S
41,35,31M 20S
44,35,30M 56S
46,35,29M 38S
46,37,29M 13S
49,37,28M 38S
52,37,28M 10S
54,37,27M 40S
55,37,27M 40S
55,39,27M 14S
56,39,26M 56S
57,39,26M 56S
57,41,26M 39S
60,41,26M 32S
60,42,26M 20S
62,42,26M 13S
63,42,26M 13S
66,42,25M 25S
66,43,25M 1S
66,44,25M 1S
68,44,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,44,23M 48S
70,46,23M 22S
72,46,22M 25S
72,49,22M 11S
72,51,21M 32S
72,52,21M 14S
72,53,21M 14S
74,53,21M 1S
74,55,20M 34S
74,57,20M 1S
74,59,18M 54S
76,59,18M 38S
78,59,17M 57S
80,59,17M 16S
80,61,16M 59S
80,62,15M 51S
83,62,15M 40S
83,63,15M 19S
83,64,15M 19S
83,65,14M 55S
83,66,14M 55S
83,67,14M 35S
83,69,13M 50S
86,69,13M 33S
86,70,12M 27S
86,71,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,71,11M 31S
88,72,11M 18S
88,74,10M 51S
90,74,10M 35S
91,74,10M 5S
91,76,9M 36S
93,76,9M 15S
95,76,8M 40S
95,78,8M 20S
98,78,8M 7S
98,80,7M 45S
99,80,7M 23S
100,80,7M 23S
100,82,7M 8S
103,82,5M 27S
103,84,4M 33S
103,86,4M 7S
103,88,3M 38S
105,88,2M 53S
105,89,1M 50S
108,89,58S
108,92,36S
108,94,25S
End of 4th quarter,NA,0S
