LA Lakers,San Antonio,time_rem
4-2,2-3,48M 0S
0,0,47M 43S
0,1,47M 43S
0,2,47M 43S
2,2,47M 5S
2,4,46M 51S
2,6,45M 47S
3,6,45M 27S
4,6,45M 8S
5,6,45M 8S
5,8,44M 51S
7,8,44M 31S
10,8,43M 52S
10,11,43M 35S
10,14,43M 14S
13,14,43M 8S
15,14,41M 45S
17,14,41M 3S
17,17,40M 37S
17,18,39M 48S
17,20,39M 39S
19,20,39M 27S
19,23,38M 23S
19,26,37M 51S
22,26,37M 36S
25,26,37M 6S
25,29,36M 53S
25,31,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,31,35M 37S
27,34,35M 20S
28,34,35M 10S
29,34,35M 10S
31,34,34M 35S
31,35,34M 15S
31,36,34M 15S
34,36,34M 4S
34,38,33M 19S
37,38,32M 42S
39,38,32M 19S
39,40,31M 12S
39,42,30M 22S
42,42,29M 34S
42,43,29M 20S
42,44,29M 20S
44,44,28M 59S
44,46,28M 54S
46,46,28M 25S
46,47,28M 10S
46,48,28M 10S
48,48,28M 2S
50,48,27M 48S
51,48,27M 16S
51,50,26M 56S
51,53,26M 32S
53,53,26M 12S
53,54,26M 5S
53,55,26M 5S
55,55,25M 57S
57,55,24M 55S
58,55,24M 55S
58,57,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,57,23M 44S
61,57,23M 26S
62,57,23M 26S
64,57,23M 5S
64,60,22M 37S
66,60,22M 20S
66,62,22M 6S
66,63,21M 28S
66,64,21M 28S
66,65,21M 8S
68,65,20M 55S
68,67,20M 31S
70,67,20M 20S
70,70,19M 29S
70,73,18M 47S
72,73,17M 58S
74,73,17M 38S
74,74,17M 17S
74,76,16M 35S
76,76,16M 13S
76,78,15M 54S
79,78,15M 24S
79,80,15M 1S
79,83,14M 26S
81,83,14M 7S
81,85,12M 37S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,85,11M 19S
83,86,9M 36S
84,86,8M 50S
85,86,8M 50S
88,86,8M 27S
88,88,8M 17S
91,88,7M 45S
91,90,7M 29S
91,92,7M 8S
94,92,6M 51S
94,95,6M 30S
97,95,5M 47S
97,97,5M 29S
97,99,4M 24S
97,100,4M 24S
100,100,4M 4S
Jump ball: P. Mills vs. L. James (R. Gay gains possession),NA,2M 57S
100,102,2M 34S
100,103,2M 34S
103,103,2M 26S
105,103,53S
107,103,28S
108,103,12S
109,103,12S
End of 4th quarter,NA,0S
