New York,Chicago,time_rem
9-13,8-11,48M 0S
0,0,47M 51S
2,0,47M 38S
2,2,46M 21S
4,2,45M 37S
4,3,45M 22S
4,4,45M 22S
6,4,44M 43S
6,5,44M 33S
6,6,44M 33S
8,6,44M 11S
8,9,43M 57S
10,9,43M 46S
10,11,43M 33S
12,11,43M 16S
13,11,43M 16S
13,13,42M 30S
13,14,42M 8S
15,14,41M 35S
16,14,41M 35S
16,16,41M 15S
16,17,40M 35S
16,18,40M 35S
16,20,40M 14S
16,22,39M 55S
18,22,39M 39S
18,25,39M 24S
18,28,38M 58S
19,28,38M 15S
19,30,38M 1S
21,30,37M 44S
22,30,37M 44S
25,30,37M 13S
26,30,36M 46S
27,30,36M 46S
27,32,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 47S
29,32,35M 47S
29,34,35M 6S
31,34,34M 48S
31,36,34M 38S
33,36,34M 19S
33,38,34M 1S
33,40,33M 30S
35,40,31M 58S
35,42,31M 36S
37,42,31M 6S
38,42,30M 35S
39,42,30M 35S
39,44,30M 18S
42,44,30M 5S
42,47,29M 47S
44,47,29M 28S
44,50,28M 53S
45,50,28M 30S
46,50,28M 30S
47,50,28M 30S
48,50,27M 50S
49,50,27M 50S
51,50,27M 13S
51,52,27M 0S
53,52,26M 20S
53,54,26M 3S
53,57,25M 34S
Jump ball: J. Randle vs. L. Markkanen (R. Barrett gains possession),NA,25M 7S
53,59,24M 53S
54,59,24M 5S
55,59,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,62,23M 17S
55,64,22M 44S
57,64,22M 31S
57,66,22M 1S
58,66,21M 49S
59,66,21M 49S
59,68,21M 28S
61,68,20M 47S
61,70,20M 23S
61,72,19M 35S
63,72,19M 25S
65,72,18M 48S
65,74,17M 43S
66,74,17M 23S
66,76,16M 35S
68,76,16M 7S
68,78,15M 54S
70,78,15M 9S
71,78,14M 52S
73,78,14M 29S
73,79,14M 7S
73,82,13M 33S
74,82,13M 20S
77,82,12M 49S
79,82,12M 26S
79,83,12M 14S
79,84,12M 14S
81,84,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,84,11M 19S
83,85,11M 12S
83,87,10M 44S
86,87,9M 46S
86,89,9M 18S
88,89,9M 4S
88,91,8M 21S
90,91,7M 13S
90,94,5M 5S
92,94,4M 19S
95,94,3M 32S
95,96,3M 14S
97,96,2M 54S
97,98,2M 34S
97,100,1M 26S
100,100,56S
100,103,42S
100,106,22S
100,107,10S
100,108,10S
102,108,5S
102,109,3S
102,110,3S
End of 4th quarter,NA,0S
