Dallas,Houston,time_rem
3-4,2-3,48M 0S
0,0,47M 47S
0,1,47M 21S
0,2,47M 21S
2,2,46M 28S
3,2,46M 28S
4,2,46M 11S
5,2,46M 11S
7,2,45M 45S
8,2,45M 27S
9,2,45M 27S
12,2,44M 56S
12,5,43M 49S
13,5,43M 22S
14,5,43M 22S
14,7,43M 2S
16,7,42M 41S
16,10,42M 30S
16,12,41M 7S
18,12,40M 51S
21,12,40M 15S
21,14,39M 42S
22,14,39M 32S
23,14,39M 32S
25,14,38M 54S
26,14,38M 22S
27,14,38M 22S
27,17,38M 9S
30,17,37M 42S
30,18,37M 16S
30,19,37M 16S
33,19,37M 2S
33,20,36M 11S
33,21,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
Jump ball: W. Cauley,Stein vs. S. Brown (J. Johnson gains possession),35M 42S
36,21,35M 38S
36,23,34M 58S
36,25,34M 35S
36,26,34M 35S
36,28,33M 41S
36,30,33M 7S
37,30,33M 7S
37,32,32M 32S
40,32,32M 4S
40,34,31M 53S
40,35,31M 53S
40,37,30M 53S
40,38,30M 53S
42,38,29M 45S
42,39,28M 24S
44,39,28M 10S
44,41,27M 52S
47,41,27M 42S
47,42,27M 27S
47,43,27M 27S
49,43,27M 13S
50,43,27M 13S
53,43,26M 29S
53,45,26M 8S
56,45,25M 43S
56,47,25M 22S
59,47,24M 58S
59,48,24M 51S
61,48,24M 30S
61,49,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,49,23M 14S
65,49,22M 29S
66,49,22M 7S
67,49,22M 7S
67,51,21M 54S
67,54,21M 13S
69,54,20M 48S
69,56,20M 33S
71,56,19M 49S
72,56,19M 49S
72,58,19M 32S
72,59,18M 19S
72,60,18M 19S
72,61,17M 22S
72,64,17M 11S
72,66,16M 14S
72,67,16M 14S
72,70,16M 6S
75,70,14M 55S
75,71,14M 49S
75,74,14M 26S
77,74,13M 58S
80,74,13M 8S
80,77,13M 0S
82,77,12M 42S
83,77,12M 15S
84,77,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,78,11M 18S
84,79,11M 18S
84,80,11M 18S
85,80,11M 6S
85,82,10M 42S
85,85,10M 0S
87,85,9M 38S
89,85,9M 9S
89,86,8M 47S
89,87,8M 47S
92,87,7M 31S
92,88,7M 17S
92,89,7M 17S
94,89,7M 5S
94,92,6M 41S
96,92,6M 12S
99,92,5M 41S
101,92,4M 54S
103,92,3M 4S
106,92,2M 23S
106,95,2M 11S
108,95,1M 54S
110,95,1M 16S
110,97,1M 8S
110,98,1M 8S
113,98,51S
113,99,40S
113,100,40S
End of 4th quarter,NA,0S
