Cleveland,Detroit,time_rem
20-37,18-40,48M 0S
0,2,47M 38S
0,5,46M 26S
2,5,45M 51S
2,7,45M 1S
2,9,44M 42S
4,9,44M 26S
4,11,43M 58S
6,11,43M 46S
6,13,43M 28S
6,15,42M 34S
6,16,42M 34S
6,18,42M 3S
8,18,41M 40S
9,18,41M 40S
9,20,41M 19S
9,23,40M 57S
9,26,40M 19S
9,29,39M 52S
9,32,39M 30S
10,32,38M 58S
12,32,38M 46S
14,32,38M 25S
14,35,38M 13S
14,37,37M 51S
16,37,37M 41S
18,37,37M 8S
20,37,36M 48S
21,37,36M 25S
22,37,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,37,35M 43S
26,37,35M 13S
26,40,34M 40S
28,40,34M 29S
28,43,34M 14S
30,43,34M 0S
32,43,33M 30S
32,46,33M 20S
34,46,33M 7S
34,48,32M 52S
37,48,32M 26S
37,50,32M 8S
39,50,31M 25S
39,52,31M 10S
39,54,30M 32S
40,54,29M 7S
41,54,29M 7S
41,55,28M 55S
41,56,28M 55S
44,56,28M 40S
46,56,28M 11S
46,58,27M 27S
48,58,27M 12S
48,59,26M 8S
50,59,25M 13S
51,59,25M 13S
51,62,24M 52S
53,62,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,62,23M 23S
57,62,22M 25S
57,64,21M 55S
59,64,21M 6S
59,66,19M 41S
59,68,19M 18S
61,68,18M 59S
61,69,18M 47S
61,70,18M 47S
63,70,18M 29S
65,70,17M 53S
67,70,17M 36S
67,72,16M 30S
68,72,16M 17S
69,72,16M 17S
69,74,15M 56S
69,75,15M 40S
69,76,15M 40S
71,76,15M 24S
71,78,13M 53S
73,78,13M 34S
76,78,13M 12S
76,79,12M 41S
76,80,12M 41S
76,82,12M 26S
76,84,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,84,11M 21S
79,84,10M 54S
80,84,10M 54S
81,84,10M 54S
83,84,10M 16S
83,86,9M 50S
83,88,9M 25S
85,88,9M 14S
85,90,7M 50S
87,90,7M 16S
89,90,6M 59S
92,90,6M 19S
92,92,6M 6S
92,93,5M 42S
92,94,5M 42S
94,94,5M 27S
95,94,4M 37S
96,94,4M 37S
96,96,4M 22S
99,96,4M 5S
99,98,3M 47S
99,100,3M 8S
100,100,2M 57S
100,101,2M 36S
Jump ball: J. Jackson vs. C. Sexton (F. Jackson gains possession),NA,1M 55S
101,101,1M 46S
101,103,57S
103,103,44S
103,105,29S
103,107,16S
105,107,13S
105,108,11S
105,109,11S
End of 4th quarter,NA,0S
