Brooklyn,Dallas,time_rem
43-24,38-28,48M 0S
3,0,47M 40S
3,3,47M 24S
3,5,46M 36S
6,5,46M 23S
6,6,46M 13S
6,7,46M 13S
6,9,45M 23S
8,9,45M 4S
8,12,44M 54S
11,12,44M 35S
11,13,44M 21S
11,14,44M 21S
11,17,44M 7S
11,19,43M 31S
14,19,43M 12S
14,21,42M 59S
16,21,42M 18S
Jump ball: B. Griffin vs. T. Hardaway (K. Irving gains possession),NA,41M 39S
18,21,41M 30S
18,23,41M 5S
20,23,40M 56S
20,26,40M 39S
23,26,40M 22S
23,28,39M 54S
23,31,39M 15S
23,33,38M 49S
25,33,38M 27S
25,35,37M 44S
27,35,37M 21S
27,37,37M 3S
30,37,36M 39S
32,37,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,37,34M 49S
34,37,34M 49S
35,37,34M 25S
35,38,34M 3S
35,39,34M 3S
35,41,33M 32S
37,41,32M 10S
40,41,31M 20S
40,42,30M 56S
42,42,30M 38S
44,42,30M 16S
44,44,30M 1S
46,44,29M 37S
46,47,29M 27S
48,47,29M 15S
49,47,29M 15S
49,50,29M 2S
51,50,28M 44S
51,53,28M 32S
52,53,28M 15S
53,53,28M 15S
53,54,27M 49S
53,55,27M 49S
56,55,27M 32S
56,57,27M 7S
58,57,26M 56S
60,57,25M 8S
60,60,24M 56S
62,60,24M 39S
62,62,24M 29S
62,63,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,63,23M 38S
Jump ball: L. Shamet vs. T. Hardaway (B. Griffin gains possession),NA,22M 19S
68,63,20M 15S
68,66,19M 21S
70,66,18M 52S
70,69,18M 39S
70,70,18M 7S
70,71,18M 7S
72,71,17M 47S
72,74,17M 26S
72,76,16M 34S
74,76,16M 14S
74,78,15M 56S
76,78,14M 54S
78,78,14M 28S
78,79,13M 53S
78,82,13M 32S
81,82,12M 26S
83,82,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,82,11M 23S
86,82,11M 23S
86,84,11M 6S
88,84,10M 45S
88,86,10M 35S
89,86,9M 51S
90,86,9M 51S
90,88,9M 41S
90,90,9M 19S
90,92,8M 41S
92,92,8M 7S
92,94,7M 32S
92,96,6M 34S
92,99,5M 57S
94,99,5M 44S
94,100,5M 2S
94,101,5M 2S
97,101,4M 43S
97,104,4M 28S
99,104,3M 36S
99,106,3M 11S
101,106,1M 15S
102,106,1M 15S
102,108,53S
103,108,47S
104,108,47S
104,110,32S
104,111,14S
104,112,14S
107,112,12S
108,112,6S
109,112,6S
109,113,5S
End of 4th quarter,NA,0S
