LA Lakers,Oklahoma City,time_rem
10-3,5-6,48M 0S
0,0,47M 40S
3,0,47M 19S
3,1,46M 59S
3,2,46M 59S
5,2,46M 45S
5,4,46M 30S
7,4,46M 15S
9,4,45M 24S
11,4,44M 54S
13,4,44M 14S
14,4,44M 14S
16,4,43M 29S
16,7,43M 9S
16,9,41M 46S
18,9,41M 29S
18,11,40M 30S
19,11,40M 15S
19,13,39M 45S
22,13,39M 32S
22,15,38M 56S
24,15,38M 32S
24,17,38M 19S
26,17,38M 8S
26,19,37M 54S
28,19,37M 17S
30,19,36M 25S
30,21,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,21,35M 13S
31,23,34M 59S
31,25,34M 31S
34,25,34M 9S
37,25,33M 48S
37,27,32M 56S
40,27,32M 39S
40,30,32M 3S
40,32,31M 7S
43,32,30M 27S
46,32,30M 4S
47,32,29M 37S
49,32,29M 31S
51,32,29M 7S
54,32,28M 32S
56,32,27M 59S
56,35,27M 15S
56,37,26M 35S
56,40,26M 7S
56,42,25M 37S
56,43,25M 8S
58,43,24M 51S
58,45,24M 33S
58,46,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,48,23M 35S
60,48,23M 17S
63,48,22M 40S
65,48,21M 29S
65,50,21M 4S
67,50,20M 48S
70,50,20M 7S
73,50,19M 32S
74,50,19M 32S
76,50,19M 1S
76,52,18M 39S
79,52,18M 28S
79,53,18M 14S
79,54,18M 14S
79,55,17M 41S
82,55,17M 25S
82,58,17M 13S
83,58,17M 2S
85,58,16M 34S
85,59,15M 50S
85,60,15M 50S
87,60,15M 5S
87,61,15M 1S
89,61,14M 35S
89,64,13M 37S
89,66,13M 13S
91,66,12M 50S
91,68,12M 21S
93,68,12M 2S
93,71,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,71,11M 36S
96,71,11M 7S
97,71,11M 7S
97,73,10M 53S
99,73,10M 31S
102,73,9M 31S
102,76,9M 16S
104,76,8M 59S
105,76,8M 59S
105,79,8M 45S
105,81,7M 30S
106,81,7M 9S
107,81,7M 9S
107,83,6M 55S
109,83,6M 38S
109,85,6M 19S
109,86,5M 59S
109,87,5M 59S
110,87,5M 47S
111,87,5M 47S
113,87,5M 25S
113,90,5M 12S
114,90,5M 10S
115,90,5M 10S
115,92,4M 41S
118,92,4M 20S
121,92,3M 18S
121,94,2M 31S
124,94,1M 51S
124,95,1M 39S
126,95,1M 10S
126,96,1M 0S
126,97,1M 0S
127,97,44S
128,97,44S
128,99,33S
End of 4th quarter,NA,0S
