Milwaukee,Miami,time_rem
2-3,2-2,48M 0S
0,0,47M 42S
0,3,46M 55S
2,3,46M 17S
3,3,44M 57S
4,3,44M 57S
4,4,44M 25S
4,5,44M 25S
4,8,43M 40S
7,8,43M 16S
9,8,42M 48S
9,10,42M 29S
9,12,41M 53S
10,12,41M 36S
11,12,41M 36S
14,12,39M 23S
17,12,39M 2S
17,14,38M 48S
18,14,38M 20S
19,14,38M 20S
19,16,38M 8S
19,18,37M 30S
19,20,36M 56S
19,22,36M 32S
19,24,36M 8S
19,25,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,25,35M 30S
25,25,35M 9S
25,27,34M 51S
28,27,34M 31S
28,28,34M 13S
28,29,34M 13S
31,29,33M 59S
33,29,33M 37S
33,32,33M 21S
35,32,33M 8S
35,35,32M 54S
37,35,32M 37S
37,36,31M 49S
40,36,30M 51S
42,36,30M 29S
42,38,30M 15S
42,40,29M 46S
45,40,29M 25S
48,40,28M 57S
48,42,28M 36S
48,44,27M 47S
50,44,27M 24S
52,44,27M 1S
54,44,26M 25S
56,44,26M 0S
56,46,25M 47S
56,49,25M 22S
56,50,24M 34S
56,51,24M 34S
Jump ball: G. Antetokounmpo vs. A. Iguodala (J. Holiday gains possession),NA,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,54,23M 25S
59,54,23M 15S
61,54,22M 44S
61,55,22M 34S
61,56,22M 34S
64,56,21M 54S
66,56,21M 29S
68,56,20M 57S
68,58,20M 41S
70,58,20M 24S
72,58,20M 0S
72,60,19M 20S
72,62,18M 53S
74,62,18M 37S
74,64,18M 22S
76,64,18M 10S
76,65,17M 58S
76,66,17M 58S
79,66,17M 40S
79,69,17M 27S
81,69,17M 6S
81,71,16M 25S
81,73,16M 2S
84,73,15M 44S
84,76,15M 25S
84,77,14M 51S
84,78,14M 51S
86,78,14M 36S
86,80,14M 12S
86,83,13M 41S
89,83,13M 25S
90,83,12M 49S
91,83,12M 49S
91,85,12M 27S
91,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,91,11M 2S
93,91,10M 37S
93,92,10M 19S
93,93,10M 19S
93,96,9M 4S
93,99,8M 32S
95,99,8M 12S
95,102,7M 46S
95,103,7M 11S
95,104,7M 11S
95,105,7M 11S
97,105,6M 51S
97,108,6M 41S
98,108,6M 31S
99,108,6M 31S
99,110,6M 17S
99,111,4M 39S
99,112,4M 39S
99,113,3M 51S
99,114,3M 22S
101,114,3M 11S
103,114,2M 41S
103,116,2M 18S
103,117,1M 49S
106,117,1M 35S
107,117,51S
108,117,51S
108,119,22S
End of 4th quarter,NA,0S
