Memphis,Golden State,time_rem
NA,NA,48M 0S
0,2,47M 46S
3,2,47M 20S
3,4,47M 1S
6,4,46M 41S
6,6,46M 19S
8,6,45M 33S
10,6,45M 17S
11,6,45M 17S
13,6,44M 54S
16,6,44M 33S
18,6,44M 5S
18,7,43M 50S
18,9,43M 23S
20,9,42M 3S
22,9,41M 27S
22,11,41M 13S
22,14,39M 25S
24,14,39M 6S
24,16,38M 18S
24,17,38M 18S
25,17,38M 6S
26,17,38M 6S
26,20,37M 56S
26,21,37M 56S
26,24,37M 27S
26,27,37M 2S
27,27,36M 45S
28,27,36M 45S
30,27,36M 17S
30,28,36M 4S
30,29,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,29,35M 45S
33,31,35M 27S
36,31,35M 18S
38,31,34M 47S
38,33,34M 29S
38,35,34M 0S
39,35,33M 4S
40,35,33M 4S
43,35,32M 34S
43,37,31M 37S
43,38,31M 37S
44,38,31M 14S
45,38,31M 14S
45,40,30M 16S
47,40,30M 4S
48,40,28M 51S
49,40,28M 51S
52,40,28M 33S
52,42,28M 13S
54,42,27M 55S
57,42,27M 19S
59,42,26M 57S
59,44,26M 41S
59,47,26M 7S
59,49,25M 33S
62,49,24M 41S
Jump ball: X. Tillman vs. A. Wiggins (G. Allen gains possession),NA,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,49,23M 15S
64,51,23M 8S
65,51,22M 36S
65,53,21M 40S
66,53,21M 28S
67,53,21M 28S
67,55,20M 31S
67,57,20M 8S
69,57,19M 29S
69,59,18M 46S
72,59,18M 38S
72,62,18M 19S
74,62,17M 22S
74,65,16M 48S
77,65,16M 26S
77,67,15M 50S
77,68,15M 9S
77,69,15M 9S
77,71,14M 44S
78,71,14M 24S
78,73,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,75,10M 12S
80,75,10M 3S
80,77,9M 40S
80,78,9M 40S
82,78,9M 24S
82,81,9M 12S
85,81,8M 51S
86,81,7M 53S
87,81,7M 53S
89,81,6M 49S
89,82,6M 6S
91,82,5M 52S
91,85,5M 34S
92,85,5M 7S
93,85,5M 7S
95,85,3M 36S
95,87,3M 18S
95,88,3M 18S
97,88,3M 3S
97,90,2M 47S
97,92,2M 10S
97,93,1M 44S
97,94,1M 44S
97,95,1M 44S
97,96,1M 12S
97,97,1M 12S
98,97,54S
99,97,54S
99,99,33S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: X. Tillman vs. D. Green (K. Anderson gains possession),NA,5M 0S
101,99,4M 46S
101,101,4M 27S
101,103,3M 54S
104,103,3M 34S
107,103,3M 11S
107,106,2M 51S
107,109,1M 50S
110,109,1M 27S
112,109,48S
114,109,4S
114,112,2S
116,112,1S
117,112,1S
End of 1st overtime,NA,0S
