Orlando,Milwaukee,time_rem
21-48,44-25,48M 0S
0,2,47M 38S
0,5,47M 11S
2,5,46M 40S
2,7,46M 3S
2,9,45M 38S
4,9,45M 14S
6,9,44M 50S
6,11,44M 38S
8,11,44M 11S
9,11,44M 11S
9,13,43M 37S
12,13,43M 20S
12,16,43M 7S
14,16,42M 52S
16,16,42M 26S
16,17,41M 53S
16,19,40M 59S
16,21,39M 9S
16,23,38M 39S
18,23,38M 15S
20,23,37M 27S
20,25,37M 18S
20,27,36M 40S
20,29,36M 22S
22,29,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,29,35M 43S
Jump ball: G. Antetokounmpo vs. C. Randle (D. DiVincenzo gains possession),NA,35M 29S
24,32,34M 25S
26,32,34M 6S
26,35,33M 53S
28,35,32M 21S
28,37,32M 7S
30,37,31M 51S
30,39,31M 40S
32,39,31M 22S
32,41,31M 3S
32,44,30M 33S
32,47,29M 57S
34,47,29M 44S
36,47,29M 5S
36,49,28M 48S
38,49,28M 29S
40,49,28M 4S
40,51,27M 50S
40,53,27M 1S
40,54,26M 38S
40,55,26M 38S
43,55,25M 47S
43,57,25M 24S
46,57,25M 0S
48,57,24M 40S
48,59,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,60,23M 32S
50,60,23M 8S
50,63,22M 56S
52,63,22M 32S
55,63,22M 14S
55,65,21M 33S
Jump ball: D. Bacon vs. G. Antetokounmpo (M. Wagner gains possession),NA,20M 18S
58,65,20M 5S
58,67,19M 23S
58,69,18M 53S
59,69,18M 36S
59,71,18M 1S
61,71,17M 24S
61,73,16M 48S
61,74,15M 49S
61,75,15M 49S
63,75,15M 38S
63,77,15M 0S
65,77,14M 7S
67,77,13M 29S
67,79,13M 8S
70,79,12M 51S
71,79,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,80,11M 45S
71,81,11M 45S
72,81,10M 59S
73,81,10M 59S
74,81,10M 59S
74,83,10M 27S
74,85,9M 32S
77,85,9M 21S
77,87,9M 5S
77,88,9M 0S
78,88,8M 47S
79,88,8M 47S
79,90,8M 32S
80,90,8M 20S
80,92,8M 6S
83,92,7M 50S
84,92,7M 15S
85,92,7M 15S
85,93,7M 3S
85,94,7M 3S
87,94,6M 43S
87,95,6M 32S
87,96,6M 32S
87,97,6M 11S
87,98,6M 11S
87,101,5M 39S
88,101,4M 58S
90,101,4M 36S
90,102,3M 57S
91,102,3M 47S
92,102,3M 47S
92,104,3M 31S
92,105,3M 31S
92,106,3M 10S
92,107,3M 10S
94,107,2M 59S
94,109,2M 33S
97,109,2M 22S
97,111,1M 59S
99,111,1M 14S
99,113,47S
102,113,41S
102,114,40S
End of 4th quarter,NA,0S
