LA Clippers,LA Lakers,time_rem
1-0,0-1,48M 0S
0,0,47M 40S
2,0,47M 28S
5,0,46M 48S
5,3,45M 53S
7,3,45M 32S
8,3,45M 32S
8,5,45M 19S
11,5,44M 57S
14,5,44M 25S
16,5,43M 57S
16,8,42M 54S
17,8,42M 40S
18,8,42M 40S
21,8,42M 5S
21,10,41M 51S
22,10,41M 37S
22,12,41M 28S
24,12,41M 4S
24,14,40M 48S
24,15,40M 41S
25,15,40M 33S
26,15,40M 33S
29,15,40M 18S
31,15,39M 43S
33,15,39M 9S
33,16,38M 53S
33,17,38M 53S
35,17,38M 39S
37,17,38M 13S
39,17,37M 57S
39,19,37M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,20,35M 38S
41,20,35M 11S
41,23,33M 41S
41,25,31M 29S
41,26,30M 16S
41,27,30M 16S
41,30,29M 59S
43,30,29M 39S
44,30,29M 39S
44,31,29M 26S
44,32,29M 26S
44,34,29M 2S
44,35,29M 2S
47,35,28M 24S
47,36,28M 18S
47,37,28M 18S
49,37,28M 4S
49,39,27M 53S
51,39,27M 43S
51,41,27M 27S
51,43,27M 6S
53,43,26M 50S
53,46,26M 41S
53,47,26M 10S
53,48,26M 10S
53,50,25M 39S
56,50,25M 21S
56,51,25M 14S
56,53,24M 52S
56,54,24M 52S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,54,23M 42S
61,54,23M 12S
61,56,22M 51S
63,56,22M 33S
63,59,22M 17S
63,61,21M 51S
65,61,21M 25S
65,63,21M 11S
68,63,20M 56S
68,65,20M 43S
69,65,20M 31S
69,68,19M 52S
71,68,19M 29S
71,70,18M 19S
74,70,17M 41S
74,72,17M 29S
74,73,17M 29S
75,73,17M 18S
75,75,17M 4S
77,75,16M 49S
Jump ball: A. Davis vs. I. Zubac (W. Matthews gains possession),NA,16M 28S
77,76,14M 27S
79,76,14M 10S
81,76,13M 52S
82,76,13M 52S
82,78,13M 38S
84,78,13M 20S
87,78,12M 56S
89,78,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,80,11M 48S
91,80,11M 30S
91,82,10M 48S
91,85,10M 17S
94,85,9M 58S
94,88,9M 40S
95,88,9M 22S
96,88,9M 22S
96,89,9M 1S
96,90,9M 1S
99,90,8M 48S
99,91,8M 0S
99,92,8M 0S
101,92,7M 48S
104,92,6M 40S
105,92,6M 40S
105,94,6M 27S
107,94,6M 9S
109,94,4M 51S
111,94,4M 17S
111,96,3M 56S
112,96,3M 37S
112,98,2M 52S
112,100,2M 23S
112,101,2M 23S
114,101,2M 0S
114,103,1M 46S
114,104,1M 23S
114,105,1M 23S
116,105,1M 5S
116,107,56S
116,109,19S
End of 4th quarter,NA,0S
