Memphis,Utah,time_rem
1-4,4-1,48M 0S
0,2,47M 39S
0,4,47M 14S
3,4,47M 6S
3,7,46M 49S
5,7,46M 35S
5,10,45M 52S
7,10,45M 32S
7,13,45M 24S
7,16,44M 48S
7,18,44M 16S
7,21,43M 55S
10,21,43M 35S
10,23,43M 22S
12,23,43M 4S
12,26,42M 53S
12,28,42M 34S
14,28,42M 18S
14,30,41M 57S
17,30,41M 22S
17,32,41M 5S
19,32,40M 55S
19,35,40M 40S
19,38,40M 12S
19,39,39M 47S
19,40,39M 47S
Jump ball: G. Allen vs. R. O'Neale (G. Allen gains possession),NA,39M 29S
21,40,39M 23S
23,40,38M 47S
23,42,37M 57S
25,42,37M 37S
25,45,37M 23S
27,45,36M 38S
27,47,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,47,35M 26S
29,49,34M 38S
31,49,34M 23S
34,49,33M 55S
34,51,33M 9S
34,53,32M 40S
34,54,32M 40S
34,56,32M 6S
37,56,31M 28S
37,57,31M 2S
37,58,31M 2S
39,58,29M 56S
39,60,29M 42S
41,60,29M 27S
41,61,28M 59S
41,62,28M 59S
44,62,28M 43S
46,62,27M 39S
46,65,26M 50S
49,65,26M 19S
49,67,26M 2S
49,69,25M 41S
49,72,24M 46S
51,72,24M 33S
51,75,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,76,23M 17S
51,78,23M 0S
52,78,22M 44S
53,78,22M 44S
53,80,22M 0S
53,82,21M 37S
53,84,20M 54S
53,86,20M 29S
54,86,19M 39S
54,88,19M 24S
55,88,19M 5S
56,88,19M 5S
56,91,18M 25S
58,91,17M 57S
60,91,17M 23S
60,92,17M 7S
60,93,17M 7S
62,93,16M 48S
64,93,16M 19S
64,95,15M 41S
66,95,15M 24S
66,97,15M 11S
66,100,14M 45S
68,100,13M 59S
70,100,13M 37S
71,100,13M 37S
71,103,13M 21S
74,103,13M 10S
76,103,12M 47S
76,105,12M 2S
76,106,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,106,11M 22S
78,108,11M 6S
80,108,10M 30S
83,108,9M 59S
83,110,9M 38S
Jump ball: R. Gobert vs. J. Jackson (D. Mitchell gains possession),NA,9M 21S
86,110,8M 59S
86,112,8M 46S
86,115,8M 18S
88,115,7M 55S
89,115,7M 55S
89,117,7M 38S
92,117,6M 36S
95,117,6M 11S
95,120,5M 49S
98,120,5M 25S
100,120,4M 57S
101,120,4M 57S
101,122,4M 28S
104,122,4M 14S
104,124,3M 51S
106,124,3M 6S
106,126,2M 48S
108,126,2M 0S
110,126,13S
End of 4th quarter,NA,0S
