Toronto,Detroit,time_rem
17-23,11-29,48M 0S
0,0,47M 32S
2,0,47M 16S
2,2,46M 58S
2,5,46M 13S
4,5,46M 1S
4,7,45M 46S
4,8,45M 21S
4,9,45M 21S
7,9,45M 3S
9,9,44M 31S
9,11,44M 20S
9,12,44M 20S
11,12,43M 30S
14,12,42M 55S
14,15,42M 32S
14,18,42M 10S
17,18,41M 55S
17,20,41M 25S
17,22,41M 4S
17,24,40M 47S
17,25,40M 47S
19,25,40M 26S
22,25,40M 2S
22,28,39M 36S
22,29,38M 51S
22,30,38M 51S
24,30,38M 35S
24,33,38M 8S
26,33,37M 41S
26,35,37M 23S
28,35,37M 8S
28,37,36M 23S
31,37,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,37,35M 41S
Jump ball: J. Jackson vs. F. VanVleet (S. Doumbouya gains possession),NA,34M 50S
34,40,34M 6S
35,40,33M 43S
Jump ball: P. Watson vs. I. Stewart (A. Baynes gains possession),NA,33M 24S
36,40,32M 32S
37,40,32M 7S
38,40,32M 7S
39,40,30M 31S
40,40,30M 31S
40,42,30M 3S
40,44,29M 45S
43,44,29M 28S
43,46,29M 0S
43,47,29M 0S
45,47,28M 36S
47,47,28M 8S
47,49,27M 45S
47,51,27M 5S
47,52,26M 42S
47,53,26M 42S
47,54,26M 20S
47,55,26M 20S
49,55,26M 8S
50,55,25M 56S
51,55,25M 56S
51,58,25M 33S
54,58,25M 13S
54,60,25M 0S
56,60,24M 30S
56,63,24M 10S
58,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,63,23M 47S
59,64,23M 31S
59,65,23M 31S
61,65,23M 14S
62,65,22M 41S
63,65,22M 41S
66,65,22M 10S
68,65,21M 9S
68,67,20M 5S
68,69,19M 44S
68,71,19M 24S
68,72,19M 24S
69,72,19M 12S
69,74,18M 35S
71,74,18M 13S
71,77,18M 8S
71,79,16M 39S
73,79,16M 34S
73,80,16M 19S
73,81,16M 19S
75,81,16M 5S
75,82,15M 51S
76,82,15M 11S
77,82,15M 11S
77,84,14M 38S
78,84,14M 33S
79,84,14M 33S
79,85,14M 24S
79,86,14M 24S
79,87,12M 37S
79,88,12M 37S
81,88,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,90,11M 2S
83,90,10M 46S
83,93,10M 30S
83,94,10M 3S
83,95,10M 3S
84,95,9M 49S
85,95,9M 49S
85,98,9M 28S
86,98,9M 11S
87,98,9M 11S
90,98,7M 34S
92,98,7M 6S
92,100,6M 43S
92,102,6M 17S
94,102,6M 3S
94,103,4M 19S
95,103,4M 7S
96,103,4M 7S
96,105,3M 42S
98,105,3M 27S
99,105,2M 58S
100,105,2M 58S
102,105,2M 27S
102,108,2M 16S
103,108,2M 1S
103,110,1M 9S
104,110,57S
106,110,41S
106,111,39S
106,112,39S
109,112,32S
109,114,7S
112,114,3S
112,115,3S
112,116,3S
End of 4th quarter,NA,0S
