Toronto,New Orleans,time_rem
1-4,4-2,48M 0S
3,0,47M 35S
3,3,47M 15S
3,4,46M 50S
3,5,46M 50S
3,6,46M 50S
6,6,46M 42S
6,9,45M 25S
6,12,44M 54S
8,12,44M 35S
10,12,43M 42S
10,14,43M 29S
10,15,41M 56S
10,17,41M 8S
12,17,40M 58S
13,17,40M 28S
14,17,40M 28S
14,20,40M 7S
14,22,39M 14S
16,22,39M 3S
16,25,38M 48S
19,25,38M 33S
21,25,37M 32S
22,25,37M 32S
22,26,37M 4S
22,27,37M 4S
Jump ball: C. Boucher vs. N. Alexander,Walker (F. VanVleet gains possession),36M 50S
24,27,36M 41S
24,30,36M 31S
25,30,36M 27S
26,30,36M 27S
26,32,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,32,35M 3S
28,32,35M 3S
28,33,34M 53S
30,33,34M 20S
30,35,33M 33S
33,35,33M 20S
35,35,32M 42S
35,38,32M 18S
37,38,31M 51S
37,39,31M 19S
37,40,31M 19S
40,40,30M 56S
40,42,30M 45S
40,44,30M 14S
41,44,30M 4S
42,44,30M 4S
44,44,29M 47S
44,45,29M 12S
46,45,28M 57S
49,45,28M 16S
51,45,27M 45S
51,48,27M 17S
53,48,26M 39S
55,48,26M 10S
57,48,25M 27S
57,50,25M 7S
60,50,24M 59S
60,53,24M 46S
60,55,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,57,23M 45S
60,59,23M 19S
62,59,23M 2S
62,61,22M 52S
62,62,21M 56S
64,62,21M 44S
64,64,21M 33S
65,64,21M 24S
66,64,21M 24S
67,64,21M 24S
67,66,21M 11S
69,66,20M 52S
69,69,20M 28S
69,70,20M 11S
69,71,20M 11S
72,71,19M 58S
72,73,19M 44S
73,73,19M 30S
73,74,18M 49S
73,75,18M 49S
73,77,17M 49S
74,77,17M 25S
75,77,17M 25S
78,77,16M 54S
78,80,16M 1S
78,82,14M 16S
79,82,14M 6S
80,82,14M 6S
80,84,13M 53S
82,84,13M 29S
82,87,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,89,11M 37S
83,89,11M 26S
84,89,11M 26S
87,89,11M 6S
87,91,10M 46S
87,93,10M 22S
88,93,10M 6S
89,93,10M 6S
89,94,9M 47S
89,95,9M 47S
89,96,9M 22S
89,97,9M 22S
89,98,9M 22S
89,99,8M 59S
89,100,8M 43S
89,101,8M 30S
92,101,8M 22S
92,102,8M 1S
92,103,8M 1S
94,103,7M 16S
95,103,7M 16S
95,104,7M 0S
95,105,7M 0S
97,105,6M 25S
97,108,6M 9S
98,108,6M 1S
99,108,6M 1S
99,109,5M 38S
101,109,4M 50S
102,109,4M 50S
105,109,4M 24S
108,109,3M 42S
108,110,3M 23S
111,110,3M 16S
111,111,3M 0S
113,111,2M 47S
113,112,1M 8S
113,113,1M 8S
113,116,42S
114,116,34S
114,117,12S
114,118,12S
116,118,6S
116,119,2S
116,120,2S
End of 4th quarter,NA,0S
