Philadelphia,Sacramento,time_rem
18-7,12-12,48M 0S
0,0,47M 41S
0,2,47M 9S
2,2,46M 41S
4,2,46M 9S
4,4,45M 40S
6,4,45M 19S
7,4,44M 52S
8,4,44M 52S
8,7,44M 29S
8,9,44M 4S
10,9,43M 46S
12,9,43M 28S
13,9,43M 28S
13,11,43M 19S
14,11,42M 58S
15,11,42M 58S
17,11,41M 55S
17,13,41M 49S
19,13,40M 57S
19,15,40M 45S
20,15,40M 21S
21,15,40M 21S
22,15,39M 50S
22,16,39M 39S
22,17,39M 39S
24,17,39M 16S
24,19,39M 6S
26,19,38M 55S
26,21,38M 40S
28,21,38M 28S
28,24,38M 19S
30,24,38M 3S
33,24,37M 42S
33,26,37M 30S
35,26,37M 21S
35,28,36M 58S
37,28,36M 40S
40,28,36M 34S
40,31,36M 29S
42,31,36M 6S
42,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
44,32,35M 36S
45,32,35M 4S
46,32,35M 4S
46,35,34M 45S
48,35,34M 26S
48,37,34M 17S
48,39,33M 47S
50,39,33M 30S
50,41,33M 18S
52,41,33M 6S
54,41,32M 36S
54,43,32M 27S
54,46,32M 13S
54,49,29M 54S
55,49,29M 40S
56,49,29M 40S
56,52,29M 25S
56,54,28M 54S
59,54,28M 37S
59,56,28M 30S
59,57,27M 23S
60,57,27M 14S
61,57,27M 14S
61,60,26M 51S
61,63,26M 22S
61,66,26M 0S
64,66,25M 43S
64,69,25M 5S
64,71,24M 33S
66,71,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,73,23M 14S
68,73,22M 56S
71,73,21M 56S
74,73,21M 16S
74,75,20M 54S
76,75,20M 11S
76,77,20M 4S
76,78,19M 8S
76,79,19M 8S
76,81,18M 33S
78,81,18M 20S
80,81,17M 53S
80,82,17M 42S
80,83,17M 42S
82,83,16M 45S
82,86,16M 11S
83,86,15M 18S
84,86,15M 18S
86,86,14M 21S
86,88,13M 36S
86,90,13M 3S
86,91,12M 39S
87,91,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,91,11M 47S
89,91,11M 47S
91,91,11M 12S
91,93,10M 55S
91,95,9M 47S
93,95,8M 58S
93,97,8M 44S
95,97,8M 29S
96,97,7M 40S
97,97,7M 40S
97,99,7M 26S
99,99,7M 9S
102,99,6M 40S
105,99,5M 21S
106,99,4M 38S
107,99,4M 38S
107,102,4M 30S
109,102,4M 13S
109,104,3M 59S
112,104,3M 38S
112,107,2M 57S
114,107,1M 8S
114,108,1M 1S
114,109,1M 1S
115,109,55S
115,111,45S
116,111,31S
117,111,31S
118,111,17S
119,111,17S
End of 4th quarter,NA,0S
