Oklahoma City,Brooklyn,time_rem
5-4,5-6,48M 0S
0,0,47M 47S
0,2,47M 32S
2,2,46M 46S
2,5,46M 15S
5,5,46M 2S
5,7,45M 45S
5,9,45M 0S
7,9,44M 39S
7,11,44M 25S
7,12,44M 25S
10,12,44M 13S
10,14,43M 56S
12,14,43M 32S
12,16,43M 18S
14,16,42M 55S
16,16,42M 22S
16,17,41M 40S
16,18,41M 40S
17,18,41M 8S
18,18,41M 8S
18,20,40M 55S
18,22,40M 37S
18,24,40M 11S
18,25,39M 51S
18,26,39M 51S
18,28,39M 17S
20,28,39M 7S
20,30,38M 55S
22,30,38M 46S
22,32,38M 31S
24,32,37M 48S
24,33,37M 32S
24,34,37M 32S
26,34,37M 19S
26,37,37M 4S
29,37,36M 54S
29,39,36M 30S
29,41,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,44,35M 42S
31,44,35M 27S
32,44,35M 1S
33,44,35M 1S
36,44,34M 7S
38,44,33M 45S
38,45,33M 28S
38,47,33M 4S
40,47,32M 54S
41,47,32M 54S
41,49,32M 45S
Jump ball: A. Pokusevski vs. J. Allen (T. Maledon gains possession),NA,31M 17S
43,49,31M 14S
45,49,30M 46S
46,49,29M 19S
48,49,28M 36S
48,51,27M 40S
51,51,27M 24S
51,53,26M 6S
51,56,25M 44S
53,56,25M 24S
53,57,25M 15S
53,60,24M 53S
55,60,24M 35S
55,63,24M 29S
57,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,65,23M 49S
59,65,23M 32S
59,67,22M 9S
62,67,21M 55S
62,69,21M 37S
65,69,21M 15S
67,69,20M 35S
67,70,20M 21S
67,71,20M 21S
69,71,19M 18S
69,73,18M 52S
69,74,18M 52S
71,74,18M 16S
72,74,17M 36S
73,74,17M 36S
74,74,17M 36S
74,76,16M 51S
76,76,16M 42S
79,76,16M 18S
81,76,15M 7S
84,76,14M 45S
84,79,14M 32S
84,81,14M 8S
87,81,12M 59S
89,81,12M 46S
90,81,12M 46S
91,81,12M 23S
92,81,12M 23S
93,81,12M 0S
94,81,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,81,11M 48S
96,83,11M 31S
99,83,11M 9S
101,83,10M 35S
101,85,9M 32S
101,86,9M 10S
104,86,8M 57S
104,89,8M 44S
106,89,8M 21S
106,91,8M 4S
108,91,7M 49S
108,93,7M 35S
108,94,7M 35S
109,94,7M 25S
110,94,7M 25S
110,95,7M 18S
110,96,7M 18S
112,96,7M 3S
112,97,6M 45S
112,98,6M 45S
112,101,6M 19S
115,101,6M 4S
115,103,4M 56S
118,103,4M 36S
Jump ball: D. Bazley vs. K. Durant (A. Horford gains possession),NA,4M 4S
120,103,3M 46S
120,105,3M 29S
122,105,3M 5S
122,107,2M 54S
124,107,2M 32S
124,109,2M 23S
124,110,2M 23S
127,110,1M 52S
127,112,1M 46S
127,113,1M 46S
127,116,1M 14S
129,116,50S
End of 4th quarter,NA,0S
