LA Clippers,Miami,time_rem
14-5,6-12,48M 0S
0,0,47M 41S
0,3,47M 36S
2,3,47M 13S
2,6,46M 18S
2,8,45M 26S
5,8,45M 6S
5,10,44M 21S
7,10,43M 30S
7,13,42M 56S
7,15,42M 29S
8,15,41M 54S
9,15,41M 54S
9,18,41M 11S
9,21,40M 36S
10,21,40M 22S
11,21,40M 22S
11,23,40M 1S
11,24,40M 1S
11,27,39M 19S
13,27,38M 36S
14,27,38M 17S
15,27,38M 17S
15,30,38M 4S
15,33,37M 33S
17,33,36M 54S
19,33,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,33,35M 31S
21,33,35M 31S
21,35,34M 43S
23,35,34M 34S
23,36,34M 23S
25,36,33M 56S
27,36,32M 36S
29,36,31M 12S
31,36,30M 17S
31,39,30M 1S
31,41,29M 10S
34,41,28M 15S
36,41,27M 42S
36,43,27M 28S
39,43,27M 13S
39,44,26M 59S
39,45,26M 59S
42,45,26M 39S
45,45,26M 4S
45,46,25M 48S
45,47,25M 48S
45,48,25M 48S
45,50,25M 15S
48,50,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,50,23M 46S
50,53,23M 0S
50,55,22M 33S
53,55,21M 36S
53,57,19M 57S
56,57,19M 40S
56,59,19M 32S
56,60,19M 32S
59,60,19M 22S
62,60,18M 59S
65,60,18M 30S
65,62,18M 17S
68,62,17M 59S
70,62,17M 40S
73,62,17M 7S
76,62,15M 56S
76,64,14M 34S
79,64,14M 5S
81,64,13M 38S
81,67,13M 18S
82,67,12M 59S
83,67,12M 59S
83,69,12M 40S
85,69,12M 27S
86,69,12M 0S
87,69,12M 0S
88,69,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,71,11M 42S
88,73,11M 19S
88,74,11M 19S
88,76,10M 55S
88,77,10M 55S
88,79,10M 8S
89,79,9M 53S
92,79,9M 32S
92,81,9M 9S
93,81,8M 46S
93,84,8M 12S
94,84,7M 20S
95,84,7M 20S
95,87,7M 3S
95,89,6M 22S
97,89,5M 17S
99,89,4M 34S
99,91,4M 18S
102,91,3M 17S
102,93,3M 4S
104,93,2M 53S
104,95,2M 41S
106,95,2M 12S
106,97,1M 59S
106,99,45S
106,100,45S
107,100,42S
108,100,42S
108,102,30S
108,103,27S
108,105,21S
109,105,20S
Jump ball: N. Batum vs. K. Olynyk (L. Williams gains possession),NA,0S
End of 4th quarter,NA,0S
