Washington,Indiana,time_rem
32-36,31-36,48M 0S
0,0,47M 36S
0,2,47M 19S
0,5,46M 51S
2,5,46M 37S
3,5,46M 37S
3,7,46M 26S
5,7,46M 0S
7,7,45M 35S
9,7,45M 12S
9,9,45M 3S
9,10,45M 3S
11,10,44M 33S
13,10,44M 7S
15,10,43M 47S
15,12,43M 29S
15,14,43M 7S
15,16,42M 23S
17,16,42M 16S
17,18,41M 39S
17,20,41M 17S
19,20,41M 4S
21,20,40M 23S
21,22,40M 10S
21,24,39M 44S
21,26,39M 13S
23,26,38M 58S
25,26,38M 29S
25,28,37M 32S
28,28,37M 22S
28,30,37M 11S
30,30,36M 39S
30,31,36M 29S
30,32,36M 29S
31,32,36M 14S
33,32,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,34,35M 48S
33,37,35M 18S
35,37,34M 23S
36,37,34M 23S
38,37,33M 57S
38,39,33M 46S
38,40,33M 22S
38,41,33M 22S
40,41,32M 52S
40,43,32M 42S
40,46,32M 11S
43,46,32M 0S
43,48,31M 1S
45,48,30M 33S
47,48,30M 9S
49,48,28M 36S
49,50,28M 22S
52,50,28M 9S
52,52,27M 30S
52,53,27M 30S
54,53,26M 30S
54,55,26M 6S
55,55,25M 50S
56,55,25M 25S
57,55,25M 25S
57,56,25M 17S
57,57,25M 17S
59,57,24M 58S
60,57,24M 58S
60,59,24M 34S
60,61,24M 13S
60,62,24M 13S
63,62,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,64,23M 48S
65,64,23M 34S
65,66,22M 59S
67,66,22M 43S
67,68,22M 7S
67,69,21M 41S
67,70,21M 41S
67,72,21M 23S
67,73,21M 7S
67,74,21M 7S
67,76,20M 43S
68,76,20M 35S
69,76,20M 35S
69,78,20M 24S
71,78,20M 14S
72,78,20M 2S
73,78,20M 2S
73,80,19M 39S
76,80,19M 27S
76,81,18M 53S
76,82,18M 53S
77,82,18M 23S
78,82,18M 23S
79,82,18M 23S
81,82,18M 0S
81,83,17M 49S
81,84,17M 49S
83,84,17M 41S
83,85,17M 4S
83,86,17M 4S
85,86,16M 33S
85,88,15M 49S
85,90,15M 5S
85,91,14M 51S
85,92,14M 51S
85,94,14M 14S
85,95,14M 14S
87,95,13M 39S
89,95,12M 43S
89,98,12M 32S
92,98,12M 29S
92,101,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,101,11M 48S
95,101,11M 26S
96,101,11M 26S
96,103,10M 59S
96,105,10M 23S
99,105,10M 1S
99,106,9M 47S
99,107,9M 47S
99,109,9M 18S
100,109,9M 7S
100,112,8M 50S
102,112,8M 35S
102,114,7M 56S
105,114,7M 34S
106,114,6M 51S
107,114,6M 51S
109,114,6M 29S
109,116,6M 0S
110,116,5M 46S
111,116,5M 46S
111,117,5M 28S
112,117,5M 19S
114,117,3M 57S
116,117,3M 26S
116,119,2M 26S
118,119,2M 7S
120,119,1M 28S
120,122,1M 15S
121,122,48S
122,122,48S
124,122,21S
124,124,13S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Gafford vs. D. Sabonis (R. Westbrook gains possession),NA,5M 0S
124,126,4M 24S
126,126,4M 0S
126,128,3M 37S
126,130,2M 34S
129,130,2M 18S
131,130,1M 29S
131,132,1M 3S
132,132,1S
133,132,1S
End of 1st overtime,NA,0S
