Oklahoma City,Golden State,time_rem
21-47,35-33,48M 0S
0,0,47M 54S
0,3,47M 14S
3,3,46M 58S
3,6,46M 50S
5,6,45M 56S
5,8,45M 38S
8,8,45M 22S
10,8,44M 47S
10,10,44M 35S
11,10,44M 18S
11,13,44M 12S
11,14,43M 9S
11,15,43M 9S
11,18,42M 29S
13,18,42M 11S
13,21,41M 55S
14,21,41M 44S
14,22,41M 7S
14,23,41M 7S
17,23,40M 53S
19,23,40M 18S
19,25,39M 40S
21,25,39M 25S
21,27,37M 47S
23,27,37M 33S
23,28,37M 23S
23,29,37M 23S
23,30,37M 23S
23,31,36M 51S
23,32,36M 51S
23,35,36M 30S
25,35,36M 19S
25,37,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,37,35M 24S
28,39,34M 13S
28,41,33M 16S
28,44,32M 11S
31,44,31M 49S
31,47,31M 6S
33,47,30M 51S
33,49,30M 42S
35,49,30M 18S
35,52,29M 39S
35,55,29M 22S
38,55,29M 0S
38,57,28M 42S
40,57,28M 26S
43,57,28M 7S
43,60,27M 47S
43,62,27M 15S
45,62,26M 24S
47,62,26M 5S
47,63,25M 55S
48,63,25M 44S
48,65,25M 36S
48,68,25M 7S
48,71,24M 39S
48,73,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,75,23M 45S
48,77,22M 18S
48,80,21M 52S
48,83,21M 26S
50,83,21M 8S
51,83,20M 41S
51,85,19M 16S
53,85,18M 42S
54,85,18M 42S
54,88,18M 31S
54,89,18M 8S
54,92,17M 46S
55,92,17M 36S
56,92,16M 44S
57,92,16M 44S
58,92,16M 26S
59,92,16M 26S
61,92,15M 59S
61,95,15M 43S
61,97,15M 14S
61,100,14M 42S
63,100,14M 2S
63,103,13M 48S
65,103,13M 25S
65,104,13M 11S
65,105,13M 11S
65,106,13M 11S
67,106,12M 59S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,106,11M 45S
69,109,11M 22S
71,109,10M 16S
71,112,9M 51S
73,112,9M 35S
73,115,9M 25S
75,115,9M 9S
75,117,8M 58S
77,117,8M 24S
77,120,8M 10S
78,120,8M 2S
80,120,7M 40S
80,122,6M 56S
80,125,5M 46S
82,125,5M 21S
84,125,4M 52S
84,128,4M 35S
84,130,4M 14S
84,132,2M 55S
85,132,2M 45S
87,132,2M 29S
87,133,2M 6S
90,133,1M 52S
93,133,1M 35S
93,136,1M 22S
95,136,58S
97,136,2S
End of 4th quarter,NA,0S
