Minnesota,San Antonio,time_rem
5-16,12-10,48M 0S
0,0,47M 46S
2,0,46M 36S
2,2,45M 57S
4,2,45M 40S
4,4,45M 23S
7,4,44M 58S
7,6,44M 35S
9,6,44M 21S
12,6,43M 51S
12,8,43M 37S
13,8,43M 23S
14,8,43M 23S
16,8,42M 15S
17,8,42M 15S
17,10,41M 58S
19,10,41M 43S
19,12,41M 12S
19,13,41M 12S
19,15,40M 39S
22,15,40M 25S
22,17,40M 9S
22,19,39M 42S
24,19,39M 26S
24,22,39M 18S
27,22,38M 42S
27,24,38M 25S
29,24,37M 45S
31,24,36M 50S
31,25,36M 38S
31,26,36M 38S
33,26,36M 14S
33,28,36M 4S
33,29,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,32,35M 47S
35,32,35M 31S
38,32,34M 53S
38,34,34M 36S
38,35,34M 36S
41,35,33M 30S
43,35,33M 9S
43,38,33M 1S
45,38,32M 46S
45,40,32M 32S
46,40,31M 28S
47,40,31M 28S
50,40,31M 2S
52,40,30M 10S
52,41,29M 24S
52,43,29M 9S
55,43,28M 53S
55,45,28M 41S
57,45,28M 25S
59,45,27M 50S
59,47,27M 11S
59,49,26M 39S
62,49,25M 50S
62,51,25M 7S
64,51,24M 48S
65,51,24M 23S
65,53,24M 1S
65,54,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,56,23M 44S
Jump ball: J. Poeltl vs. N. Reid (D. Murray gains possession),NA,23M 12S
67,56,22M 35S
67,58,21M 58S
70,58,21M 43S
70,61,21M 32S
72,61,21M 17S
72,63,20M 56S
74,63,20M 28S
74,66,19M 52S
76,66,19M 36S
79,66,18M 54S
79,68,18M 31S
79,69,18M 31S
79,71,17M 40S
81,71,17M 15S
83,71,16M 47S
86,71,14M 58S
86,72,14M 44S
87,72,13M 53S
88,72,13M 53S
88,74,13M 35S
88,76,13M 7S
88,79,12M 38S
90,79,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,79,11M 22S
94,79,10M 58S
94,81,10M 34S
97,81,10M 21S
97,83,10M 5S
97,86,9M 27S
97,87,9M 6S
97,88,8M 42S
97,89,8M 42S
97,90,6M 55S
99,90,6M 39S
99,92,6M 29S
99,93,6M 29S
99,95,6M 1S
99,97,5M 32S
99,99,4M 50S
99,101,4M 16S
101,101,4M 0S
101,103,3M 40S
103,103,3M 18S
103,104,2M 57S
103,105,2M 57S
105,105,2M 45S
105,106,2M 37S
105,108,2M 26S
106,108,2M 17S
106,110,2M 0S
108,110,1M 44S
108,111,18S
End of 4th quarter,NA,0S
