Oklahoma City,Sacramento,time_rem
21-48,30-38,48M 0S
0,0,47M 40S
0,2,47M 21S
0,4,46M 44S
3,4,46M 26S
5,4,45M 55S
8,4,45M 19S
8,6,44M 51S
8,8,44M 16S
11,8,43M 59S
13,8,43M 27S
13,11,43M 2S
13,14,42M 43S
13,17,42M 5S
13,19,41M 38S
13,20,41M 11S
13,21,41M 11S
13,24,40M 26S
15,24,40M 14S
15,26,39M 59S
16,26,39M 38S
16,29,39M 20S
17,29,39M 2S
18,29,39M 2S
21,29,38M 30S
23,29,38M 15S
23,31,37M 34S
23,32,37M 10S
23,33,37M 10S
24,33,36M 47S
25,33,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,35,35M 24S
25,37,34M 50S
25,39,34M 18S
28,39,33M 53S
30,39,33M 26S
30,40,33M 8S
30,41,32M 30S
30,43,32M 11S
32,43,32M 0S
32,46,31M 16S
32,48,30M 57S
34,48,30M 32S
34,50,30M 16S
34,53,29M 53S
34,56,29M 36S
37,56,29M 18S
37,59,29M 0S
40,59,28M 46S
40,61,28M 33S
40,63,27M 35S
41,63,27M 18S
42,63,27M 18S
42,65,27M 0S
44,65,26M 34S
44,67,26M 12S
46,67,25M 52S
46,68,25M 37S
48,68,24M 51S
49,68,24M 51S
49,70,24M 26S
51,70,24M 14S
51,71,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,71,23M 15S
53,72,23M 1S
53,73,23M 1S
55,73,22M 2S
56,73,22M 2S
56,75,21M 46S
56,76,21M 9S
56,77,21M 9S
56,80,20M 36S
59,80,20M 19S
59,82,19M 13S
60,82,18M 52S
60,85,17M 42S
60,86,17M 3S
60,87,17M 3S
62,87,16M 45S
62,90,16M 23S
62,92,15M 36S
62,93,15M 36S
63,93,15M 25S
65,93,14M 57S
65,96,14M 43S
66,96,14M 29S
66,99,14M 8S
69,99,13M 41S
69,101,13M 28S
69,104,12M 37S
71,104,12M 27S
71,106,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,106,11M 44S
76,106,11M 18S
76,108,10M 58S
76,111,10M 30S
77,111,10M 14S
78,111,10M 14S
79,111,9M 45S
80,111,8M 32S
81,111,8M 32S
81,113,8M 18S
83,113,7M 59S
83,115,7M 41S
83,117,6M 46S
83,118,6M 46S
85,118,6M 32S
85,120,5M 19S
87,120,4M 58S
89,120,3M 57S
90,120,3M 57S
92,120,3M 21S
92,122,3M 3S
95,122,2M 30S
97,122,2M 15S
97,123,1M 38S
97,124,1M 38S
97,125,1M 11S
97,126,1M 11S
98,126,51S
End of 4th quarter,NA,0S
