Cleveland,Boston,time_rem
8-8,9-6,48M 0S
2,0,47M 43S
2,2,47M 20S
2,4,46M 54S
2,5,46M 27S
2,6,46M 27S
2,9,46M 4S
2,11,45M 21S
5,11,44M 47S
5,13,44M 28S
5,15,44M 5S
6,15,43M 50S
7,15,43M 50S
10,15,43M 26S
10,17,43M 17S
10,18,42M 41S
10,19,42M 41S
10,21,42M 14S
10,23,41M 36S
10,25,40M 40S
11,25,40M 19S
11,28,40M 1S
12,28,39M 44S
13,28,39M 44S
13,31,39M 6S
15,31,38M 50S
17,31,38M 32S
17,33,38M 12S
19,33,37M 51S
19,35,37M 30S
20,35,37M 8S
21,35,37M 8S
21,37,36M 46S
21,38,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,41,35M 41S
23,41,35M 20S
23,43,35M 5S
23,45,34M 13S
26,45,33M 42S
28,45,33M 19S
29,45,32M 56S
31,45,32M 37S
31,48,32M 17S
31,51,31M 55S
34,51,31M 27S
34,53,31M 10S
34,54,31M 10S
34,55,30M 37S
36,55,30M 25S
36,57,29M 51S
36,58,29M 33S
36,59,29M 33S
38,59,29M 14S
41,59,28M 39S
41,62,27M 49S
43,62,27M 37S
44,62,27M 22S
45,62,27M 22S
45,64,27M 8S
45,66,26M 41S
47,66,26M 26S
47,68,26M 14S
47,69,25M 4S
49,69,24M 48S
49,70,24M 29S
49,71,24M 29S
50,71,24M 9S
51,71,24M 9S
51,73,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,73,23M 20S
54,73,23M 20S
54,75,23M 8S
54,77,22M 47S
56,77,22M 29S
56,79,22M 5S
56,81,21M 48S
59,81,21M 35S
59,83,21M 10S
59,84,20M 44S
59,85,20M 44S
59,86,20M 14S
59,87,20M 14S
59,89,19M 54S
59,91,19M 25S
59,94,18M 58S
59,96,18M 34S
62,96,17M 52S
62,97,17M 36S
62,98,17M 36S
62,101,17M 20S
62,102,16M 41S
62,103,16M 41S
64,103,16M 32S
66,103,16M 12S
67,103,16M 12S
70,103,15M 37S
70,106,15M 22S
70,109,14M 59S
73,109,14M 17S
74,109,13M 24S
74,111,13M 5S
74,112,13M 5S
74,114,12M 41S
76,114,12M 31S
77,114,12M 9S
78,114,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,114,11M 31S
80,114,11M 31S
82,114,10M 56S
84,114,10M 41S
87,114,10M 16S
87,115,9M 53S
87,116,9M 53S
89,116,9M 36S
89,118,8M 49S
91,118,8M 21S
91,120,7M 15S
92,120,7M 1S
93,120,6M 38S
94,120,5M 28S
95,120,5M 28S
95,122,4M 45S
96,122,4M 30S
97,122,4M 30S
97,124,3M 57S
97,126,3M 20S
97,128,3M 2S
97,130,2M 39S
97,132,2M 13S
99,132,1M 51S
101,132,1M 40S
101,135,1M 30S
103,135,1M 16S
103,138,1M 8S
103,141,41S
End of 4th quarter,NA,0S
