Phoenix,New York,time_rem
43-18,34-28,48M 0S
0,3,47M 42S
3,3,47M 21S
3,5,47M 1S
3,8,46M 36S
3,10,46M 18S
5,10,46M 1S
5,13,45M 50S
5,15,44M 58S
5,17,44M 25S
5,18,43M 42S
7,18,43M 20S
7,20,42M 40S
10,20,42M 26S
10,21,42M 8S
12,21,41M 43S
12,23,41M 27S
13,23,40M 42S
13,25,40M 28S
15,25,40M 13S
15,28,40M 1S
15,30,39M 26S
17,30,39M 11S
19,30,38M 44S
21,30,38M 0S
22,30,37M 21S
23,30,37M 21S
23,32,36M 59S
26,32,36M 50S
27,32,36M 50S
27,33,36M 39S
27,34,36M 39S
28,34,36M 33S
29,34,36M 33S
29,36,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,38,35M 38S
29,40,35M 0S
29,42,34M 32S
29,44,33M 53S
31,44,33M 15S
33,44,32M 46S
33,46,32M 30S
35,46,32M 9S
38,46,31M 37S
40,46,30M 48S
40,48,30M 27S
42,48,30M 6S
43,48,30M 6S
43,51,29M 43S
43,54,28M 45S
43,56,28M 13S
46,56,27M 56S
46,59,27M 31S
48,59,26M 54S
49,59,26M 54S
51,59,26M 39S
53,59,26M 12S
53,61,25M 10S
54,61,25M 0S
56,61,24M 40S
56,63,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,65,23M 38S
58,65,23M 20S
60,65,22M 31S
63,65,22M 1S
63,67,21M 46S
65,67,21M 35S
65,70,21M 12S
67,70,20M 56S
67,71,20M 31S
69,71,20M 17S
70,71,20M 17S
70,74,19M 6S
70,76,18M 2S
72,76,17M 37S
74,76,17M 14S
74,79,16M 57S
77,79,16M 40S
79,79,16M 19S
79,80,16M 8S
79,81,16M 8S
79,83,15M 4S
81,83,14M 12S
83,83,13M 31S
84,83,13M 31S
84,85,12M 59S
87,85,12M 40S
87,87,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,89,11M 9S
87,91,10M 37S
90,91,10M 15S
90,93,10M 1S
90,94,10M 1S
93,94,9M 42S
94,94,8M 35S
95,94,8M 35S
97,94,7M 17S
97,96,6M 41S
100,96,6M 27S
100,98,5M 58S
102,98,5M 37S
103,98,5M 37S
106,98,5M 0S
106,100,4M 43S
106,102,4M 6S
109,102,3M 18S
111,102,2M 53S
111,105,2M 37S
111,107,1M 57S
113,107,1M 23S
113,110,1M 9S
115,110,44S
118,110,14S
End of 4th quarter,NA,0S
