Washington,Toronto,time_rem
17-32,20-30,48M 0S
0,0,47M 39S
0,1,47M 39S
2,1,46M 32S
5,1,46M 15S
7,1,45M 37S
10,1,45M 4S
12,1,44M 29S
12,3,44M 14S
12,5,43M 36S
12,7,43M 14S
14,7,42M 53S
14,9,42M 24S
16,9,42M 10S
17,9,41M 24S
18,9,41M 24S
19,9,39M 50S
21,9,39M 26S
23,9,38M 54S
23,11,38M 42S
23,13,38M 21S
23,14,37M 49S
23,15,37M 49S
26,15,37M 19S
26,17,37M 2S
26,19,36M 34S
28,19,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,19,36M 0S
29,22,35M 38S
29,24,35M 18S
29,26,34M 33S
31,26,34M 8S
33,26,33M 29S
34,26,32M 57S
35,26,32M 57S
35,28,32M 41S
35,30,32M 13S
35,32,31M 50S
35,33,31M 50S
35,34,31M 26S
35,36,30M 38S
38,36,30M 5S
40,36,29M 25S
40,39,29M 15S
42,39,28M 55S
42,41,28M 30S
45,41,28M 18S
48,41,27M 57S
Jump ball: D. Bertāns vs. P. Siakam (R. Westbrook gains possession),NA,27M 34S
50,41,27M 22S
50,43,27M 3S
50,45,26M 37S
53,45,25M 57S
53,47,25M 41S
56,47,25M 29S
56,49,25M 16S
58,49,24M 58S
61,49,24M 20S
61,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,53,23M 27S
64,53,23M 15S
66,53,22M 27S
67,53,22M 27S
69,53,22M 10S
69,55,22M 1S
72,55,21M 51S
74,55,21M 16S
74,58,20M 42S
74,61,20M 7S
76,61,19M 45S
76,63,18M 58S
76,65,18M 33S
76,66,18M 33S
78,66,18M 21S
78,68,17M 59S
78,70,17M 34S
79,70,17M 12S
80,70,17M 12S
80,72,15M 48S
82,72,14M 49S
82,74,14M 5S
82,75,14M 5S
84,75,13M 35S
86,75,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,77,11M 42S
88,77,10M 45S
88,80,10M 24S
88,82,9M 50S
88,84,9M 27S
90,84,9M 8S
90,87,8M 37S
90,89,7M 29S
90,91,7M 3S
90,93,6M 33S
90,94,6M 33S
90,96,5M 59S
91,96,4M 32S
92,96,4M 32S
92,98,4M 4S
93,98,2M 52S
94,98,2M 52S
95,98,2M 31S
96,98,2M 31S
98,98,1M 58S
98,100,1M 42S
101,100,41S
101,103,0S
End of 4th quarter,NA,0S
