Portland,Charlotte,time_rem
32-24,28-28,48M 0S
0,0,47M 49S
1,0,47M 40S
1,2,47M 18S
3,2,46M 30S
3,4,46M 18S
3,5,46M 18S
5,5,45M 58S
5,7,45M 51S
8,7,45M 36S
8,9,45M 29S
9,9,45M 6S
9,11,44M 29S
9,13,43M 57S
9,14,43M 57S
9,16,43M 46S
11,16,43M 37S
11,18,43M 12S
12,18,42M 56S
13,18,42M 56S
13,21,42M 45S
13,24,42M 11S
14,24,41M 58S
14,26,41M 32S
14,29,40M 46S
14,32,40M 9S
14,35,39M 8S
16,35,38M 47S
16,38,38M 34S
16,40,37M 39S
18,40,37M 17S
18,43,36M 52S
21,43,36M 32S
21,44,36M 16S
24,44,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,46,35M 29S
26,46,35M 12S
26,48,35M 2S
28,48,34M 45S
30,48,33M 44S
30,51,33M 16S
30,52,32M 55S
31,52,32M 41S
32,52,32M 41S
34,52,31M 30S
36,52,30M 19S
36,55,29M 9S
39,55,28M 57S
39,58,28M 22S
42,58,27M 33S
42,59,27M 19S
42,60,27M 19S
44,60,27M 8S
45,60,27M 8S
45,62,26M 47S
46,62,26M 4S
47,62,26M 4S
48,62,25M 30S
49,62,25M 30S
49,63,25M 11S
51,63,24M 27S
51,65,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,65,23M 3S
53,67,22M 43S
53,69,21M 43S
54,69,21M 30S
56,69,21M 14S
57,69,20M 3S
58,69,20M 3S
58,72,19M 50S
58,75,19M 14S
58,78,18M 37S
58,80,17M 44S
58,81,17M 44S
60,81,17M 21S
60,84,17M 13S
60,87,16M 23S
61,87,16M 1S
61,90,15M 47S
63,90,15M 34S
65,90,15M 7S
67,90,14M 21S
70,90,13M 30S
70,93,12M 51S
72,93,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,93,11M 10S
77,93,10M 40S
77,95,9M 38S
77,96,8M 50S
77,97,8M 50S
79,97,8M 34S
80,97,8M 10S
81,97,8M 10S
81,99,7M 42S
83,99,7M 36S
84,99,7M 36S
84,102,7M 19S
87,102,6M 41S
90,102,6M 8S
90,104,5M 41S
93,104,4M 56S
95,104,4M 20S
Jump ball: C. Anthony vs. M. Bridges (C. McCollum gains possession),NA,3M 30S
95,105,2M 30S
95,107,2M 6S
97,107,51S
99,107,21S
99,108,20S
99,109,20S
101,109,15S
End of 4th quarter,NA,0S
