Houston,Miami,time_rem
15-43,30-28,48M 0S
0,0,47M 49S
2,0,46M 40S
2,2,46M 30S
2,5,46M 0S
4,5,45M 0S
4,7,44M 43S
4,10,44M 16S
4,13,43M 54S
6,13,43M 46S
7,13,43M 46S
10,13,43M 7S
10,15,42M 55S
12,15,42M 36S
12,18,41M 55S
12,20,41M 31S
12,21,41M 31S
14,21,41M 19S
14,23,40M 58S
14,26,40M 32S
16,26,39M 49S
18,26,39M 5S
19,26,39M 5S
20,26,38M 34S
21,26,38M 34S
21,27,37M 41S
21,28,37M 41S
22,28,37M 33S
23,28,37M 33S
25,28,37M 3S
25,30,36M 27S
28,30,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 39S
30,32,35M 20S
30,34,35M 5S
32,34,34M 35S
34,34,34M 11S
34,36,33M 59S
37,36,33M 47S
37,37,33M 31S
40,37,33M 22S
40,40,33M 4S
42,40,32M 27S
42,42,31M 22S
44,42,30M 53S
45,42,30M 53S
48,42,30M 27S
48,45,30M 7S
48,47,29M 37S
50,47,27M 50S
51,47,27M 23S
51,49,27M 2S
52,49,26M 10S
53,49,26M 10S
53,52,25M 56S
53,54,25M 30S
55,54,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,54,23M 24S
57,57,22M 43S
59,57,22M 22S
59,60,22M 12S
62,60,21M 57S
62,63,21M 41S
64,63,21M 28S
64,65,20M 44S
67,65,20M 8S
67,68,19M 45S
67,70,18M 48S
67,72,18M 10S
69,72,18M 4S
70,72,18M 4S
70,74,17M 50S
70,76,17M 10S
72,76,16M 48S
72,79,16M 35S
72,82,15M 52S
72,84,13M 55S
72,87,13M 35S
72,89,13M 3S
74,89,12M 57S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,91,11M 21S
74,93,11M 4S
74,95,10M 21S
76,95,8M 27S
77,95,7M 19S
78,95,7M 19S
79,95,7M 19S
79,97,6M 47S
82,97,6M 26S
82,100,5M 34S
82,102,5M 3S
82,105,4M 20S
82,108,3M 43S
82,111,3M 19S
84,111,2M 55S
87,111,2M 17S
88,111,1M 45S
89,111,1M 45S
91,111,1M 11S
91,113,52S
End of 4th quarter,NA,0S
