LA Clippers,Phoenix,time_rem
0-2,2-0,48M 0S
0,0,47M 42S
2,0,47M 38S
3,0,45M 45S
4,0,45M 45S
6,0,45M 8S
6,2,44M 58S
8,2,44M 44S
8,3,44M 39S
8,4,44M 39S
8,6,44M 13S
8,8,43M 53S
8,11,43M 4S
Jump ball: P. George vs. J. Crowder (R. Jackson gains possession),NA,42M 34S
10,11,42M 19S
12,11,41M 55S
12,13,40M 56S
13,13,40M 42S
15,13,40M 9S
15,15,39M 49S
15,17,39M 19S
17,17,38M 40S
17,19,38M 21S
19,19,38M 4S
19,21,37M 47S
19,23,37M 11S
22,23,36M 48S
22,25,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,27,34M 50S
23,27,34M 36S
23,29,34M 19S
24,29,33M 2S
25,29,33M 2S
28,29,32M 30S
28,30,32M 18S
28,31,32M 18S
28,34,31M 54S
31,34,31M 28S
31,36,31M 10S
31,38,30M 32S
34,38,30M 25S
34,41,30M 1S
36,41,29M 45S
38,41,28M 46S
38,43,28M 30S
40,43,28M 19S
40,46,28M 0S
43,46,26M 43S
45,46,25M 16S
45,48,24M 58S
47,48,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,48,23M 30S
49,48,23M 30S
51,48,23M 7S
51,49,22M 54S
51,51,22M 31S
51,53,22M 2S
53,53,21M 41S
53,55,21M 22S
54,55,21M 10S
54,56,20M 33S
54,57,20M 33S
54,59,19M 44S
54,61,19M 15S
54,63,18M 57S
57,63,18M 3S
57,65,17M 47S
58,65,17M 27S
59,65,17M 27S
59,67,17M 4S
62,67,16M 42S
62,69,16M 21S
64,69,14M 54S
64,71,14M 34S
67,71,14M 25S
67,73,13M 43S
68,73,12M 56S
69,73,12M 56S
69,75,12M 43S
71,75,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,75,11M 46S
74,76,11M 30S
74,77,11M 30S
74,79,10M 44S
76,79,10M 35S
76,81,10M 21S
77,81,9M 58S
77,82,9M 20S
77,83,9M 20S
77,84,9M 20S
79,84,8M 59S
79,85,8M 42S
79,86,8M 42S
82,86,7M 55S
82,88,7M 35S
85,88,7M 28S
85,91,6M 30S
86,91,6M 14S
87,91,6M 14S
87,92,5M 58S
87,93,5M 58S
90,93,5M 39S
90,96,2M 56S
93,96,2M 41S
93,98,2M 14S
95,98,1M 51S
95,100,1M 34S
97,100,1M 23S
98,100,56S
99,100,56S
101,100,30S
101,102,27S
103,102,22S
103,104,0S
End of 4th quarter,NA,0S
