Philadelphia,Toronto,time_rem
20-11,16-15,47M 57S
0,0,47M 40S
0,2,47M 20S
1,2,46M 58S
3,2,46M 12S
5,2,45M 44S
6,2,45M 22S
7,2,45M 22S
9,2,45M 1S
10,2,44M 28S
11,2,44M 28S
11,4,44M 11S
12,4,43M 48S
13,4,43M 48S
13,6,43M 30S
13,8,42M 48S
15,8,42M 30S
17,8,41M 42S
19,8,41M 22S
22,8,40M 49S
22,10,40M 33S
22,12,39M 36S
23,12,39M 21S
24,12,39M 21S
24,15,39M 5S
24,18,38M 32S
24,21,37M 33S
24,24,37M 1S
24,27,36M 29S
24,28,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,28,35M 31S
25,31,35M 14S
27,31,34M 57S
29,31,34M 41S
29,32,34M 27S
29,34,34M 4S
30,34,33M 46S
31,34,33M 3S
32,34,33M 3S
32,37,32M 43S
35,37,32M 3S
35,39,31M 33S
35,41,30M 49S
37,41,30M 25S
39,41,29M 46S
39,43,29M 23S
41,43,28M 31S
43,43,27M 47S
45,43,27M 17S
45,45,27M 2S
48,45,26M 48S
48,47,26M 4S
49,47,25M 45S
50,47,25M 45S
50,49,25M 25S
53,49,25M 8S
53,51,24M 38S
53,52,24M 38S
55,52,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,52,23M 20S
61,52,22M 54S
61,53,22M 45S
61,54,22M 45S
61,56,22M 5S
61,59,21M 38S
64,59,21M 16S
66,59,20M 59S
69,59,20M 31S
72,59,19M 24S
72,61,18M 40S
72,63,18M 11S
74,63,17M 55S
74,64,17M 40S
74,65,17M 40S
74,67,16M 54S
77,67,16M 38S
77,68,16M 18S
77,69,16M 18S
79,69,16M 7S
79,71,15M 50S
81,71,15M 37S
82,71,15M 37S
82,73,14M 48S
82,76,14M 8S
82,79,13M 31S
82,82,12M 52S
82,83,12M 21S
83,83,12M 21S
84,83,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,83,11M 39S
86,86,10M 45S
89,86,10M 34S
89,89,9M 44S
89,91,9M 6S
91,91,8M 48S
92,91,8M 48S
92,93,8M 28S
92,95,8M 13S
92,98,7M 46S
93,98,7M 35S
94,98,7M 35S
94,100,6M 55S
94,102,5M 48S
94,104,4M 6S
95,104,2M 26S
96,104,2M 26S
97,104,2M 4S
97,105,1M 13S
97,106,1M 13S
99,106,1M 9S
99,107,44S
99,108,44S
100,108,36S
101,108,36S
103,108,30S
103,109,21S
103,110,21S
End of 4th quarter,NA,0S
