Charlotte,Chicago,time_rem
28-30,25-34,48M 0S
0,0,47M 41S
0,3,47M 12S
0,5,46M 36S
0,8,46M 17S
0,10,45M 33S
2,10,45M 1S
2,12,44M 51S
5,12,44M 33S
5,14,44M 9S
8,14,43M 49S
10,14,43M 32S
13,14,42M 58S
13,16,42M 37S
13,18,41M 39S
13,20,40M 50S
13,23,39M 58S
15,23,39M 39S
15,24,39M 13S
17,24,38M 55S
17,27,38M 16S
19,27,38M 0S
20,27,38M 0S
20,29,37M 41S
20,32,36M 55S
21,32,36M 40S
21,34,36M 27S
22,34,36M 8S
23,34,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,34,35M 39S
25,37,35M 18S
25,39,34M 25S
27,39,34M 3S
29,39,33M 19S
30,39,33M 19S
32,39,32M 40S
32,41,32M 21S
34,41,31M 21S
34,44,30M 46S
36,44,29M 48S
36,46,28M 26S
36,49,27M 42S
39,49,27M 25S
41,49,26M 18S
41,52,26M 0S
44,52,25M 31S
44,54,25M 6S
44,56,24M 39S
44,58,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,58,23M 19S
46,61,23M 0S
48,61,22M 50S
48,63,22M 24S
50,63,22M 13S
53,63,21M 42S
53,65,21M 10S
56,65,20M 58S
56,67,19M 57S
56,68,19M 57S
56,71,19M 30S
56,73,18M 41S
56,74,18M 41S
56,76,18M 4S
56,77,16M 16S
56,78,16M 16S
58,78,15M 13S
58,80,14M 54S
58,83,14M 22S
60,83,13M 32S
62,83,13M 14S
62,85,12M 48S
62,86,12M 48S
64,86,12M 36S
65,86,12M 36S
65,88,12M 11S
67,88,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,90,11M 40S
69,90,11M 18S
69,93,11M 8S
70,93,10M 7S
71,93,10M 7S
71,95,9M 39S
71,96,9M 14S
73,96,9M 2S
73,99,8M 7S
75,99,7M 40S
75,101,6M 52S
76,101,6M 41S
76,103,6M 19S
77,103,6M 6S
78,103,6M 6S
81,103,4M 16S
83,103,3M 40S
83,105,3M 10S
84,105,2M 51S
85,105,2M 51S
85,106,2M 43S
87,106,2M 31S
89,106,1M 24S
89,108,26S
91,108,16S
End of 4th quarter,NA,0S
