Denver,Utah,time_rem
44-23,49-18,48M 0S
0,0,47M 46S
2,0,47M 24S
4,0,46M 58S
4,2,46M 43S
6,2,46M 25S
9,2,46M 8S
9,4,45M 49S
11,4,45M 0S
11,6,44M 48S
13,6,44M 32S
13,9,44M 15S
15,9,43M 54S
15,11,43M 40S
17,11,43M 25S
17,13,43M 6S
19,13,42M 54S
22,13,42M 20S
24,13,41M 42S
24,15,41M 29S
24,17,40M 55S
24,19,40M 31S
25,19,40M 20S
26,19,40M 20S
26,21,40M 7S
28,21,39M 41S
30,21,39M 0S
30,24,38M 54S
33,24,38M 36S
33,27,38M 32S
33,29,38M 9S
33,30,38M 9S
33,33,37M 49S
33,34,37M 22S
33,35,37M 22S
36,35,37M 8S
36,38,36M 51S
36,39,36M 42S
36,40,36M 42S
39,40,36M 34S
40,40,36M 0S
41,40,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,42,35M 44S
44,42,35M 6S
46,42,34M 46S
47,42,34M 46S
47,45,34M 28S
48,45,34M 9S
49,45,34M 9S
50,45,34M 9S
50,47,33M 45S
53,47,32M 45S
53,49,32M 22S
56,49,31M 34S
58,49,29M 44S
58,52,29M 19S
60,52,29M 2S
60,54,28M 13S
60,55,28M 13S
62,55,27M 51S
62,58,27M 41S
62,61,26M 49S
65,61,26M 37S
65,64,25M 55S
67,64,24M 55S
67,67,24M 45S
70,67,24M 31S
72,67,24M 4S
73,67,24M 4S
73,69,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,72,23M 41S
75,72,22M 51S
75,73,21M 55S
75,74,21M 55S
77,74,21M 42S
77,76,21M 24S
77,77,20M 26S
77,78,20M 26S
78,78,20M 10S
79,78,20M 10S
82,78,19M 49S
82,81,19M 16S
85,81,18M 49S
85,82,18M 23S
85,83,18M 23S
85,85,16M 25S
87,85,16M 6S
87,86,15M 45S
87,87,15M 45S
87,88,15M 45S
89,88,15M 27S
92,88,15M 18S
92,90,15M 4S
95,90,14M 56S
95,92,14M 40S
95,95,13M 55S
97,95,13M 28S
97,98,13M 5S
98,98,12M 1S
99,98,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,100,11M 22S
99,103,10M 56S
100,103,10M 17S
101,103,10M 17S
101,106,8M 58S
103,106,7M 53S
103,109,7M 42S
106,109,5M 37S
106,111,4M 58S
106,114,4M 41S
108,114,4M 30S
111,114,4M 0S
111,117,3M 12S
112,117,3M 4S
112,119,2M 39S
114,119,2M 19S
114,120,2M 4S
114,121,2M 4S
117,121,1M 43S
118,121,1M 14S
118,124,51S
120,124,36S
120,125,18S
120,126,12S
120,127,12S
End of 4th quarter,NA,0S
