Chicago,Orlando,time_rem
8-13,9-14,48M 0S
0,2,47M 34S
0,4,47M 4S
2,4,46M 54S
2,7,46M 34S
2,9,45M 53S
4,9,45M 38S
4,12,45M 25S
4,15,44M 55S
4,17,44M 20S
4,18,44M 20S
6,18,44M 8S
8,18,43M 42S
9,18,43M 42S
11,18,43M 18S
12,18,43M 18S
15,18,42M 1S
15,20,41M 41S
17,20,41M 24S
17,23,41M 7S
17,24,40M 49S
17,25,40M 49S
19,25,40M 11S
19,28,39M 44S
21,28,39M 19S
23,28,38M 35S
25,28,38M 4S
27,28,37M 30S
27,30,37M 25S
27,31,37M 25S
27,33,36M 50S
28,33,36M 28S
29,33,36M 28S
30,33,36M 2S
31,33,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,35M 18S
33,34,35M 6S
33,35,35M 6S
36,35,34M 56S
36,37,34M 12S
38,37,33M 35S
38,39,33M 19S
41,39,31M 17S
44,39,30M 27S
44,41,30M 2S
46,41,29M 45S
46,43,29M 23S
49,43,29M 9S
49,46,28M 59S
49,48,28M 27S
51,48,28M 12S
51,50,27M 50S
51,51,27M 15S
51,52,27M 15S
51,53,26M 50S
51,54,26M 50S
51,55,26M 50S
53,55,26M 35S
53,58,26M 23S
56,58,26M 6S
56,59,25M 45S
56,60,25M 45S
56,63,25M 28S
56,66,24M 52S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,66,23M 39S
58,67,23M 26S
58,68,23M 26S
58,69,23M 26S
60,69,22M 52S
60,70,22M 30S
60,71,22M 30S
60,72,21M 59S
62,72,21M 43S
63,72,21M 43S
65,72,21M 14S
65,74,20M 39S
67,74,20M 27S
69,74,19M 54S
69,76,19M 6S
69,78,18M 39S
69,80,18M 18S
71,80,18M 0S
74,80,17M 28S
74,82,16M 44S
76,82,16M 28S
76,84,16M 7S
76,86,15M 37S
76,88,14M 37S
78,88,13M 56S
78,90,13M 13S
80,90,12M 57S
80,92,12M 41S
81,92,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,94,11M 45S
83,94,11M 30S
83,96,11M 19S
83,97,11M 4S
85,97,10M 51S
85,98,10M 35S
87,98,10M 25S
89,98,9M 55S
89,101,9M 26S
91,101,9M 17S
91,103,8M 58S
93,103,8M 45S
95,103,8M 18S
96,103,8M 18S
96,106,8M 3S
98,106,7M 10S
98,108,6M 48S
99,108,6M 24S
101,108,6M 15S
102,108,5M 55S
103,108,5M 55S
103,110,5M 41S
106,110,5M 15S
106,112,3M 23S
108,112,3M 0S
109,112,3M 0S
112,112,2M 3S
112,114,1M 44S
113,114,1M 35S
114,114,1M 35S
114,116,1M 21S
114,117,54S
114,118,41S
114,119,41S
115,119,26S
116,119,26S
117,119,26S
117,120,16S
117,121,16S
119,121,9S
119,122,2S
119,123,2S
End of 4th quarter,NA,0S
