Philadelphia,Dallas,time_rem
37-17,29-24,48M 0S
0,0,47M 34S
0,2,47M 10S
0,4,46M 49S
3,4,46M 35S
3,7,46M 17S
4,7,46M 0S
5,7,46M 0S
7,7,44M 52S
7,10,44M 33S
9,10,44M 16S
9,11,44M 4S
9,12,44M 4S
10,12,43M 51S
11,12,43M 51S
12,12,43M 29S
13,12,43M 29S
13,13,43M 8S
13,14,43M 8S
16,14,42M 52S
16,17,42M 29S
17,17,42M 3S
19,17,41M 1S
19,19,40M 49S
21,19,40M 42S
23,19,40M 5S
23,22,39M 49S
24,22,39M 14S
25,22,39M 14S
25,23,38M 13S
25,24,37M 37S
25,26,37M 14S
28,26,36M 39S
30,26,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,27,35M 45S
30,28,35M 45S
32,28,35M 33S
32,31,35M 7S
34,31,34M 50S
34,34,34M 37S
37,34,34M 23S
39,34,33M 53S
39,36,33M 30S
41,36,33M 9S
43,36,32M 37S
43,38,32M 25S
44,38,31M 57S
45,38,31M 57S
45,40,31M 33S
46,40,31M 17S
47,40,30M 58S
47,42,30M 28S
50,42,30M 1S
50,43,28M 45S
50,44,28M 45S
51,44,27M 29S
53,44,26M 55S
Jump ball: J. Embiid vs. W. Cauley,Stein (S. Curry gains possession),26M 15S
55,44,25M 59S
56,44,25M 59S
57,44,25M 28S
58,44,25M 28S
58,45,25M 18S
60,45,25M 1S
60,46,24M 48S
60,48,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,50,22M 54S
61,50,22M 13S
62,50,22M 13S
64,50,21M 44S
64,53,21M 25S
66,53,21M 10S
66,55,21M 1S
69,55,20M 44S
72,55,20M 21S
72,57,20M 0S
74,57,19M 47S
74,59,18M 49S
74,61,17M 37S
74,63,17M 7S
74,64,17M 7S
76,64,16M 47S
78,64,16M 17S
78,66,15M 33S
80,66,15M 14S
83,66,14M 4S
86,66,13M 30S
86,68,12M 43S
87,68,12M 32S
88,68,12M 32S
88,69,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,72,11M 10S
89,72,10M 28S
92,72,10M 1S
92,74,9M 49S
95,74,9M 18S
97,74,8M 29S
97,76,8M 7S
99,76,7M 50S
99,77,7M 26S
99,78,7M 26S
101,78,7M 9S
101,80,6M 55S
101,83,6M 25S
104,83,6M 2S
104,85,5M 17S
104,87,4M 40S
104,89,4M 2S
104,91,3M 45S
106,91,2M 44S
108,91,2M 6S
108,93,1M 58S
110,93,1M 38S
112,93,1M 35S
113,93,1M 25S
113,95,20S
End of 4th quarter,NA,0S
