Detroit,Cleveland,time_rem
4-14,9-9,48M 0S
0,2,47M 44S
1,2,47M 24S
4,2,47M 11S
6,2,46M 49S
Jump ball: A. Drummond vs. M. Plumlee (C. Osman gains possession),NA,46M 39S
6,3,46M 32S
9,3,46M 21S
9,6,46M 7S
9,8,45M 27S
12,8,45M 18S
12,10,44M 21S
13,10,43M 55S
14,10,43M 55S
14,12,43M 22S
16,12,43M 11S
17,12,42M 37S
18,12,42M 37S
18,14,42M 25S
18,17,41M 56S
18,18,41M 34S
20,18,40M 40S
20,20,40M 25S
20,22,40M 4S
22,22,40M 3S
22,25,39M 54S
22,27,39M 31S
24,27,38M 42S
24,28,38M 31S
26,28,38M 11S
26,30,37M 57S
26,32,37M 15S
28,32,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,34,35M 4S
30,34,34M 51S
30,36,34M 34S
30,38,34M 17S
32,38,33M 20S
34,38,32M 58S
36,38,32M 28S
36,40,32M 13S
38,40,32M 0S
38,42,31M 41S
39,42,30M 35S
40,42,30M 35S
41,42,30M 35S
44,42,29M 55S
46,42,29M 17S
46,45,28M 35S
49,45,28M 13S
51,45,27M 51S
53,45,27M 34S
Jump ball: J. Jackson vs. D. Windler (S. Doumbouya gains possession),NA,26M 41S
53,47,26M 12S
55,47,25M 48S
55,49,25M 28S
56,49,25M 18S
56,51,25M 2S
56,53,24M 7S
56,54,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,57,23M 32S
56,59,22M 35S
58,59,22M 22S
58,61,21M 58S
58,64,21M 9S
60,64,20M 59S
62,64,20M 17S
62,66,19M 41S
64,66,19M 6S
64,69,18M 16S
65,69,18M 3S
66,69,18M 3S
69,69,17M 30S
69,72,17M 4S
71,72,16M 46S
71,75,15M 52S
74,75,15M 36S
74,77,15M 26S
74,79,15M 1S
74,81,14M 23S
76,81,14M 0S
76,82,13M 35S
76,83,13M 35S
79,83,13M 19S
79,86,13M 4S
79,88,12M 37S
82,88,12M 31S
82,89,12M 10S
82,90,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,92,11M 44S
84,92,10M 58S
86,92,10M 29S
86,94,10M 7S
86,96,9M 32S
86,99,9M 17S
86,101,8M 42S
87,101,8M 13S
87,103,7M 58S
88,103,7M 35S
88,105,6M 58S
88,106,6M 58S
89,106,6M 37S
89,108,6M 28S
92,108,6M 15S
93,108,5M 45S
94,108,5M 45S
95,108,5M 20S
96,108,5M 20S
97,108,5M 20S
97,110,4M 56S
97,111,4M 16S
97,113,3M 42S
97,114,3M 19S
97,115,3M 19S
99,115,3M 8S
99,117,2M 52S
100,117,2M 17S
100,118,2M 3S
100,119,2M 3S
101,119,1M 54S
102,119,1M 54S
102,120,1M 34S
102,121,1M 34S
104,121,1M 20S
107,121,38S
107,122,26S
End of 4th quarter,NA,0S
