Minnesota,Orlando,time_rem
21-47,21-47,48M 0S
0,0,47M 40S
0,2,47M 21S
2,2,46M 53S
2,3,45M 41S
2,4,45M 41S
3,4,45M 29S
4,4,45M 24S
5,4,45M 24S
5,7,45M 9S
7,7,44M 57S
7,8,44M 49S
7,9,44M 49S
10,9,44M 29S
13,9,43M 49S
14,9,42M 45S
15,9,42M 45S
17,9,42M 22S
17,11,42M 2S
19,11,41M 42S
22,11,41M 10S
22,13,40M 23S
24,13,39M 53S
27,13,39M 2S
27,15,37M 38S
27,16,37M 38S
28,16,36M 51S
28,19,36M 33S
30,19,36M 22S
31,19,36M 22S
34,19,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,21,35M 45S
37,21,34M 36S
40,21,33M 49S
42,21,33M 2S
42,22,32M 48S
45,22,32M 37S
48,22,32M 11S
48,23,31M 56S
50,23,31M 39S
50,25,30M 51S
50,27,30M 30S
52,27,30M 20S
52,30,30M 4S
53,30,29M 44S
54,30,29M 44S
54,33,29M 34S
56,33,28M 58S
56,35,28M 41S
56,37,28M 17S
58,37,27M 54S
58,39,27M 40S
60,39,27M 26S
62,39,26M 55S
64,39,26M 29S
64,40,26M 9S
64,41,26M 9S
66,41,25M 55S
68,41,25M 24S
70,41,24M 58S
71,41,24M 58S
72,41,24M 39S
72,44,24M 7S
74,44,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,46,23M 41S
77,46,23M 25S
77,49,22M 46S
79,49,22M 30S
81,49,22M 9S
84,49,20M 59S
86,49,20M 39S
89,49,19M 54S
92,49,19M 24S
92,51,19M 2S
92,53,18M 46S
92,55,18M 10S
95,55,17M 24S
95,57,16M 48S
97,57,16M 36S
97,59,16M 14S
98,59,15M 58S
99,59,15M 58S
100,59,15M 58S
100,61,15M 47S
102,61,15M 30S
102,64,15M 18S
103,64,15M 11S
103,66,14M 37S
105,66,13M 27S
107,66,13M 21S
107,69,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
107,70,11M 7S
109,70,10M 25S
110,70,10M 25S
110,72,10M 14S
110,74,9M 47S
110,76,9M 14S
112,76,8M 59S
112,78,8M 45S
115,78,7M 41S
115,79,7M 17S
115,80,7M 17S
117,80,6M 45S
117,82,6M 26S
117,83,5M 51S
117,84,5M 51S
118,84,5M 30S
119,84,5M 30S
119,86,5M 18S
121,86,5M 0S
121,88,4M 47S
123,88,4M 33S
123,91,4M 7S
126,91,3M 51S
126,92,3M 34S
126,94,3M 9S
126,96,2M 3S
128,96,1M 50S
End of 4th quarter,NA,0S
