Portland,Denver,time_rem
18-13,17-14,48M 0S
0,0,47M 37S
0,3,47M 21S
3,3,46M 5S
3,5,45M 22S
5,5,44M 23S
5,8,44M 7S
8,8,43M 55S
10,8,43M 26S
10,10,43M 9S
10,13,42M 38S
10,16,41M 56S
12,16,41M 40S
14,16,41M 16S
14,18,40M 25S
16,18,40M 6S
16,20,39M 57S
16,22,39M 30S
18,22,38M 47S
18,24,38M 11S
18,25,38M 11S
20,25,37M 53S
20,26,37M 38S
20,27,37M 38S
23,27,37M 22S
23,29,37M 4S
23,31,36M 42S
23,34,36M 11S
25,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,35,35M 0S
25,36,35M 0S
27,36,34M 1S
28,36,34M 1S
28,38,33M 37S
28,39,32M 53S
28,40,32M 53S
29,40,32M 35S
30,40,32M 35S
32,40,31M 59S
32,41,31M 48S
32,42,31M 48S
34,42,31M 17S
34,45,30M 57S
37,45,30M 35S
39,45,29M 53S
41,45,29M 16S
41,47,28M 58S
43,47,28M 31S
45,47,28M 3S
45,49,27M 54S
48,49,27M 35S
50,49,26M 55S
50,50,26M 41S
50,51,26M 41S
50,53,26M 7S
53,53,25M 51S
53,55,25M 38S
54,55,25M 29S
Jump ball: E. Freedom vs. N. Jokić (G. Trent gains possession),NA,25M 11S
57,55,24M 33S
57,57,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,57,23M 42S
60,60,22M 0S
60,62,21M 24S
62,62,21M 2S
64,62,20M 36S
66,62,20M 10S
68,62,19M 41S
68,64,19M 22S
68,67,18M 46S
69,67,18M 18S
70,67,18M 18S
70,70,18M 2S
72,70,17M 35S
75,70,17M 8S
Jump ball: W. Barton vs. R. Covington (N. Jokić gains possession),NA,16M 46S
75,73,13M 41S
78,73,13M 25S
78,75,12M 49S
78,78,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,80,11M 47S
81,80,11M 5S
83,80,9M 15S
83,83,9M 1S
85,83,8M 34S
85,85,8M 1S
85,87,7M 38S
87,87,7M 11S
87,90,6M 50S
90,90,6M 24S
90,93,5M 59S
91,93,5M 39S
92,93,5M 39S
92,95,4M 42S
92,97,3M 56S
92,99,3M 20S
92,101,2M 3S
94,101,1M 47S
94,103,1M 27S
95,103,1M 17S
96,103,1M 17S
98,103,51S
98,105,31S
100,105,20S
100,106,18S
100,107,18S
103,107,11S
103,108,9S
103,109,9S
106,109,7S
106,110,4S
106,111,4S
End of 4th quarter,NA,0S
