Indiana,LA Lakers,time_rem
16-20,25-13,48M 0S
0,2,47M 48S
0,4,47M 16S
1,4,46M 58S
2,4,46M 58S
2,6,46M 36S
4,6,45M 56S
6,6,45M 6S
6,7,43M 17S
9,7,43M 6S
11,7,42M 33S
13,7,42M 17S
13,10,42M 6S
16,10,41M 36S
16,11,39M 59S
16,12,39M 59S
18,12,39M 37S
18,14,39M 20S
18,16,38M 34S
21,16,38M 11S
21,18,37M 44S
23,18,37M 32S
24,18,37M 32S
24,19,37M 7S
24,20,37M 7S
26,20,36M 45S
28,20,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,22,35M 10S
28,23,35M 10S
28,25,34M 44S
28,26,34M 44S
28,28,34M 27S
28,31,33M 59S
30,31,33M 24S
32,31,33M 0S
34,31,32M 26S
36,31,31M 56S
36,32,31M 48S
36,33,31M 48S
38,33,30M 55S
40,33,29M 46S
40,34,29M 36S
40,37,29M 10S
42,37,28M 16S
42,38,28M 2S
45,38,27M 45S
45,39,27M 33S
47,39,27M 9S
49,39,26M 35S
49,40,26M 21S
49,42,25M 45S
51,42,25M 33S
51,43,25M 0S
51,44,25M 0S
51,45,24M 30S
51,46,24M 30S
53,46,24M 4S
54,46,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,46,23M 28S
57,46,22M 42S
57,49,22M 23S
57,52,21M 44S
57,54,20M 48S
57,55,20M 19S
57,56,20M 19S
59,56,19M 32S
59,57,19M 6S
59,58,19M 6S
59,60,18M 31S
59,61,18M 31S
61,61,18M 17S
62,61,18M 17S
65,61,17M 44S
67,61,17M 20S
68,61,17M 20S
68,63,17M 3S
71,63,16M 57S
71,64,16M 38S
71,65,16M 38S
71,67,14M 47S
72,67,14M 36S
73,67,14M 36S
74,67,14M 11S
75,67,14M 11S
75,69,13M 54S
76,69,13M 40S
77,69,13M 40S
77,71,13M 25S
79,71,13M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,72,11M 44S
81,72,11M 4S
81,74,10M 45S
83,74,10M 31S
86,74,10M 4S
86,76,9M 36S
86,78,9M 19S
86,79,8M 43S
86,80,8M 43S
86,82,8M 20S
87,82,8M 17S
88,82,8M 17S
88,84,8M 2S
88,86,7M 50S
88,88,7M 7S
90,88,6M 50S
90,91,6M 33S
90,94,5M 58S
90,96,5M 28S
93,96,5M 10S
93,98,4M 38S
95,98,2M 2S
95,100,1M 47S
95,101,1M 47S
97,101,1M 36S
97,103,1M 20S
98,103,1M 10S
99,103,36S
100,103,36S
100,104,8S
100,105,8S
End of 4th quarter,NA,0S
