Chicago,Golden State,time_rem
19-26,23-24,48M 0S
0,0,47M 46S
2,0,47M 25S
2,2,47M 11S
2,4,46M 52S
2,6,46M 18S
4,6,45M 57S
4,9,45M 47S
6,9,45M 31S
8,9,44M 58S
8,11,44M 42S
10,11,44M 22S
10,13,44M 12S
12,13,43M 27S
12,16,43M 15S
14,16,42M 56S
16,16,41M 46S
16,19,41M 35S
18,19,41M 11S
19,19,40M 43S
22,19,40M 31S
24,19,39M 56S
24,22,39M 42S
24,24,38M 38S
27,24,38M 12S
27,26,37M 57S
29,26,37M 50S
29,29,37M 36S
29,31,37M 11S
29,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,34,35M 48S
31,36,34M 16S
34,36,34M 9S
37,36,33M 48S
37,39,32M 47S
39,39,32M 12S
39,41,31M 48S
41,41,31M 18S
43,41,30M 46S
43,43,30M 25S
43,45,29M 16S
45,45,28M 52S
45,48,28M 43S
45,50,28M 12S
47,50,27M 59S
47,52,27M 49S
49,52,27M 31S
52,52,27M 12S
52,55,26M 51S
54,55,26M 37S
54,58,26M 11S
56,58,25M 53S
56,61,25M 8S
58,61,24M 55S
58,63,24M 46S
60,63,24M 32S
60,64,24M 10S
60,65,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,65,23M 9S
64,65,22M 40S
65,65,22M 40S
65,67,22M 29S
67,67,21M 49S
67,69,21M 37S
67,71,20M 43S
67,73,20M 10S
69,73,19M 59S
70,73,19M 28S
71,73,19M 28S
71,75,18M 51S
71,77,18M 3S
73,77,17M 44S
73,80,17M 34S
74,80,17M 23S
76,80,16M 53S
78,80,16M 35S
78,82,16M 20S
78,83,15M 30S
78,84,15M 30S
78,87,14M 54S
80,87,14M 35S
82,87,14M 20S
82,89,13M 39S
82,92,13M 18S
85,92,13M 3S
85,94,12M 39S
85,96,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,99,11M 14S
85,101,10M 9S
86,101,9M 54S
87,101,9M 54S
89,101,9M 22S
89,103,8M 49S
89,105,7M 43S
89,106,7M 26S
89,107,7M 26S
91,107,7M 6S
91,109,6M 17S
93,109,6M 1S
93,110,5M 38S
93,111,5M 38S
95,111,3M 45S
97,111,3M 19S
97,113,2M 58S
98,113,1M 25S
100,113,1M 10S
100,116,50S
102,116,31S
End of 4th quarter,NA,0S
