Memphis,Utah,time_rem
1-1,1-1,48M 0S
0,0,47M 40S
0,2,47M 31S
2,2,47M 9S
2,5,46M 13S
4,5,45M 17S
6,5,44M 25S
8,5,43M 21S
8,7,43M 2S
10,7,42M 42S
10,10,42M 29S
10,11,42M 29S
12,11,42M 17S
12,12,42M 10S
12,13,42M 10S
12,15,41M 35S
13,15,41M 20S
14,15,41M 20S
14,18,41M 11S
16,18,40M 53S
16,21,40M 23S
16,23,39M 40S
17,23,39M 15S
18,23,39M 15S
18,26,38M 42S
20,26,38M 23S
20,28,38M 7S
22,28,37M 59S
22,29,37M 48S
22,30,37M 48S
25,30,36M 56S
25,33,36M 44S
25,36,36M 6S
27,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,36,35M 38S
30,36,35M 38S
30,38,35M 27S
30,40,34M 34S
32,40,34M 13S
32,43,33M 58S
32,44,33M 10S
32,45,33M 10S
32,46,33M 10S
33,46,32M 36S
33,48,32M 16S
33,49,31M 52S
34,49,31M 41S
35,49,31M 41S
37,49,31M 9S
37,51,30M 59S
38,51,30M 44S
40,51,30M 0S
40,52,29M 50S
40,53,29M 50S
40,54,29M 50S
40,56,29M 29S
42,56,29M 19S
42,57,29M 10S
44,57,28M 58S
44,59,28M 38S
44,61,27M 55S
47,61,27M 41S
47,62,27M 28S
47,63,27M 28S
49,63,27M 3S
49,65,26M 46S
50,65,26M 34S
50,66,26M 0S
50,67,26M 0S
50,68,25M 35S
50,71,25M 3S
51,71,24M 52S
52,71,24M 52S
52,74,24M 40S
54,74,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,74,23M 47S
56,76,23M 29S
59,76,23M 17S
62,76,22M 45S
62,79,22M 28S
64,79,22M 8S
64,81,21M 53S
66,81,21M 40S
66,84,21M 25S
69,84,21M 6S
71,84,20M 46S
71,87,20M 35S
73,87,20M 17S
75,87,20M 2S
75,89,19M 37S
77,89,19M 26S
79,89,18M 59S
81,89,18M 14S
83,89,17M 40S
83,91,17M 27S
85,91,17M 6S
85,93,16M 45S
88,93,16M 27S
91,93,15M 29S
91,96,15M 11S
93,96,14M 47S
93,98,14M 32S
94,98,13M 45S
95,98,13M 45S
95,100,13M 29S
97,100,13M 7S
97,101,12M 34S
97,102,12M 34S
97,103,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,105,11M 41S
97,107,10M 42S
97,109,10M 21S
97,110,10M 21S
98,110,10M 10S
99,110,10M 10S
99,112,9M 57S
101,112,9M 42S
101,113,9M 42S
101,116,9M 30S
102,116,9M 19S
103,116,9M 19S
104,116,9M 19S
104,119,9M 2S
104,121,8M 30S
106,121,8M 18S
107,121,8M 0S
108,121,7M 47S
110,121,7M 28S
112,121,7M 6S
112,123,6M 56S
112,124,6M 56S
114,124,6M 46S
114,127,6M 30S
115,127,6M 16S
116,127,6M 16S
116,129,6M 3S
117,129,5M 43S
118,129,5M 43S
118,131,5M 32S
120,131,5M 17S
120,133,4M 50S
121,133,4M 44S
122,133,4M 44S
122,136,4M 20S
122,138,2M 35S
123,138,1M 38S
124,138,1M 38S
126,138,1M 7S
126,141,46S
129,141,9S
End of 4th quarter,NA,0S
