Detroit,LA Clippers,time_rem
16-38,37-18,48M 0S
0,0,47M 46S
3,0,47M 25S
3,2,47M 7S
6,2,46M 49S
6,4,46M 33S
8,4,46M 14S
8,6,46M 2S
11,6,45M 29S
14,6,45M 7S
14,8,44M 50S
16,8,44M 31S
16,10,44M 18S
18,10,43M 53S
18,12,43M 44S
20,12,43M 32S
20,14,42M 41S
20,17,41M 38S
23,17,41M 16S
23,19,40M 48S
25,19,40M 22S
25,21,38M 28S
28,21,38M 6S
28,24,37M 53S
30,24,37M 40S
32,24,37M 24S
32,26,37M 6S
32,27,37M 6S
35,27,36M 16S
35,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,30,35M 21S
39,30,34M 41S
39,32,33M 55S
39,35,33M 24S
42,35,33M 5S
42,36,32M 53S
42,38,32M 34S
42,39,32M 0S
42,40,32M 0S
42,42,31M 31S
45,42,31M 18S
47,42,30M 53S
47,45,30M 41S
49,45,30M 21S
50,45,30M 0S
51,45,30M 0S
52,45,30M 0S
52,48,29M 41S
52,50,29M 15S
54,50,29M 1S
54,52,28M 51S
56,52,28M 34S
56,54,28M 19S
57,54,27M 37S
58,54,27M 37S
58,56,27M 14S
60,56,26M 57S
60,59,26M 41S
60,61,26M 6S
62,61,25M 32S
62,62,24M 12S
62,63,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,63,23M 9S
64,63,23M 9S
65,63,23M 9S
65,64,22M 50S
67,64,22M 36S
68,64,22M 36S
68,66,22M 21S
71,66,22M 2S
71,68,21M 48S
73,68,21M 30S
76,68,20M 54S
76,70,20M 37S
78,70,20M 29S
79,70,20M 29S
79,72,20M 11S
81,72,19M 57S
81,74,19M 40S
84,74,19M 19S
84,77,18M 54S
86,77,18M 35S
89,77,17M 54S
89,79,17M 26S
91,79,16M 57S
91,81,16M 14S
93,81,16M 3S
93,83,15M 51S
93,85,15M 18S
95,85,14M 58S
95,87,14M 41S
97,87,14M 18S
97,89,13M 45S
97,92,13M 11S
99,92,12M 46S
99,94,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,95,11M 46S
101,95,11M 15S
101,98,10M 53S
101,101,10M 8S
101,103,9M 27S
102,103,9M 9S
102,105,8M 35S
104,105,8M 11S
104,107,7M 55S
106,107,7M 36S
106,110,7M 13S
107,110,7M 2S
108,110,7M 2S
110,110,6M 20S
110,113,5M 44S
110,115,4M 55S
112,115,4M 32S
112,116,4M 16S
112,117,3M 23S
112,118,3M 23S
112,120,2M 37S
113,120,1M 57S
114,120,1M 57S
114,123,1M 36S
116,123,1M 23S
116,126,58S
117,126,51S
118,126,51S
118,127,36S
118,128,36S
118,129,20S
121,129,13S
121,130,12S
121,131,12S
124,131,6S
End of 4th quarter,NA,0S
