Boston,Chicago,time_rem
35-32,28-39,48M 0S
0,0,47M 42S
0,2,47M 25S
1,2,46M 42S
2,2,46M 42S
2,5,46M 31S
4,5,45M 51S
7,5,45M 16S
9,5,44M 32S
9,7,44M 18S
9,8,43M 44S
9,9,43M 44S
11,9,43M 34S
11,12,43M 17S
14,12,42M 35S
14,14,42M 15S
14,16,41M 21S
17,16,41M 6S
19,16,40M 45S
19,18,40M 37S
19,19,40M 37S
19,21,40M 10S
19,22,40M 10S
21,22,39M 58S
24,22,39M 28S
26,22,38M 8S
26,25,37M 49S
28,25,37M 29S
28,28,37M 12S
28,30,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 41S
30,32,35M 15S
30,33,34M 15S
30,34,34M 15S
32,34,33M 57S
32,36,33M 12S
32,39,32M 49S
34,39,32M 20S
34,40,32M 7S
Jump ball: Z. LaVine vs. J. Parker (G. Temple gains possession),NA,31M 19S
34,43,30M 27S
36,43,29M 59S
36,46,29M 28S
38,46,28M 13S
38,49,27M 35S
41,49,26M 46S
41,52,26M 20S
41,54,25M 40S
43,54,25M 23S
43,57,25M 5S
43,60,24M 31S
46,60,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,62,23M 31S
48,62,23M 15S
50,62,21M 54S
50,65,20M 41S
53,65,20M 5S
53,66,19M 45S
53,67,19M 45S
53,68,19M 45S
56,68,19M 33S
57,68,18M 56S
58,68,18M 56S
58,71,18M 39S
60,71,18M 27S
60,73,18M 15S
62,73,17M 43S
62,75,17M 19S
62,77,16M 36S
63,77,16M 5S
64,77,16M 5S
64,80,15M 52S
66,80,15M 11S
66,82,14M 44S
66,85,14M 11S
66,86,13M 45S
66,87,13M 45S
67,87,13M 29S
68,87,13M 29S
68,88,13M 18S
68,89,13M 18S
70,89,13M 5S
70,91,12M 49S
71,91,12M 39S
74,91,12M 4S
74,92,12M 1S
74,93,12M 1S
74,94,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,94,11M 35S
76,94,11M 17S
77,94,10M 48S
78,94,10M 48S
79,94,9M 57S
80,94,9M 57S
82,94,8M 58S
82,96,8M 31S
84,96,8M 20S
84,98,7M 57S
86,98,7M 22S
87,98,6M 35S
90,98,6M 3S
90,100,5M 31S
91,100,5M 19S
92,100,5M 19S
92,102,5M 2S
92,105,4M 37S
92,107,4M 4S
92,109,3M 33S
92,112,3M 2S
94,112,2M 51S
94,115,1M 30S
96,115,1M 20S
96,117,1M 13S
99,117,1M 4S
99,119,48S
99,121,24S
End of 4th quarter,NA,0S
