Brooklyn,Milwaukee,time_rem
3-3,3-3,48M 0S
0,0,47M 40S
0,2,47M 15S
0,4,45M 57S
2,4,45M 44S
2,6,45M 3S
2,7,44M 21S
2,8,44M 21S
2,10,43M 49S
2,11,43M 49S
5,11,43M 28S
5,13,43M 16S
5,15,42M 36S
5,18,42M 14S
7,18,41M 49S
9,18,41M 20S
12,18,40M 8S
12,20,39M 44S
14,20,38M 43S
14,22,38M 24S
14,23,37M 50S
14,25,37M 5S
16,25,36M 50S
19,25,36M 24S
19,26,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,28,35M 15S
21,28,34M 54S
21,31,34M 43S
21,32,34M 43S
21,34,33M 55S
24,34,33M 33S
24,36,33M 8S
26,36,32M 25S
26,38,32M 4S
27,38,31M 50S
28,38,31M 50S
28,40,31M 34S
31,40,31M 18S
31,42,31M 7S
31,44,30M 37S
33,44,30M 11S
35,44,29M 34S
38,44,29M 10S
40,44,28M 47S
40,46,28M 25S
41,46,28M 6S
41,49,27M 41S
44,49,27M 3S
44,50,26M 53S
44,51,26M 53S
46,51,26M 25S
46,53,26M 17S
47,53,26M 8S
48,53,26M 8S
48,56,25M 18S
48,59,24M 53S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,62,23M 18S
50,62,22M 59S
52,62,22M 19S
52,64,22M 5S
54,64,20M 51S
55,64,20M 21S
55,66,18M 43S
55,67,18M 27S
55,68,18M 27S
57,68,18M 15S
59,68,16M 59S
59,70,16M 42S
61,70,16M 16S
63,70,14M 53S
63,72,14M 32S
65,72,14M 13S
66,72,13M 27S
67,72,13M 27S
67,74,12M 54S
67,76,12M 28S
67,78,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,80,11M 44S
67,81,11M 20S
67,82,11M 20S
70,82,10M 25S
72,82,9M 36S
74,82,9M 7S
77,82,8M 41S
77,83,8M 20S
77,84,8M 20S
77,85,8M 20S
77,87,7M 46S
77,88,7M 30S
77,89,7M 30S
77,91,7M 13S
77,92,7M 13S
77,93,6M 49S
77,94,6M 49S
77,96,6M 24S
79,96,6M 2S
79,99,4M 45S
79,100,4M 45S
81,100,4M 22S
81,102,4M 6S
83,102,3M 50S
85,102,2M 44S
87,102,2M 31S
89,102,1M 23S
89,103,43S
89,104,43S
End of 4th quarter,NA,0S
