Detroit,Sacramento,time_rem
16-36,22-30,48M 0S
0,0,47M 46S
0,2,46M 17S
2,2,45M 50S
2,4,44M 46S
4,4,44M 28S
6,4,44M 3S
6,6,43M 42S
9,6,43M 26S
10,6,43M 7S
11,6,43M 7S
11,8,42M 50S
13,8,42M 38S
15,8,41M 56S
15,10,41M 21S
15,13,40M 23S
18,13,39M 53S
18,14,39M 18S
21,14,38M 57S
21,16,38M 44S
23,16,38M 27S
23,19,38M 20S
23,21,37M 41S
23,23,36M 59S
24,23,36M 40S
25,23,36M 40S
27,23,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,23,35M 47S
31,23,34M 59S
31,25,34M 29S
34,25,34M 18S
34,27,32M 43S
37,27,32M 26S
37,28,32M 0S
37,29,32M 0S
39,29,31M 28S
41,29,31M 7S
42,29,31M 7S
42,31,30M 46S
44,31,30M 23S
44,33,30M 9S
44,35,29M 33S
46,35,29M 26S
46,37,29M 15S
47,37,29M 11S
48,37,29M 11S
48,38,28M 53S
50,38,28M 41S
50,40,28M 20S
52,40,27M 59S
54,40,27M 35S
56,40,27M 17S
57,40,27M 17S
59,40,26M 59S
60,40,26M 27S
60,42,25M 32S
60,44,24M 25S
62,44,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,44,23M 8S
66,44,22M 36S
66,46,21M 46S
66,48,21M 27S
68,48,21M 2S
68,49,20M 54S
68,50,20M 54S
71,50,20M 38S
71,52,20M 17S
71,55,19M 59S
72,55,19M 3S
73,55,19M 3S
73,58,18M 53S
73,59,18M 21S
73,60,18M 21S
73,61,17M 57S
75,61,17M 45S
77,61,17M 11S
78,61,16M 51S
78,63,16M 2S
80,63,15M 28S
80,66,15M 10S
82,66,14M 12S
84,66,13M 38S
84,68,13M 28S
84,69,13M 28S
86,69,13M 12S
87,69,13M 12S
87,70,12M 57S
87,72,12M 16S
89,72,12M 5S
89,74,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,76,11M 54S
90,76,10M 50S
91,76,10M 50S
94,76,10M 25S
94,78,10M 15S
94,79,8M 33S
94,80,8M 33S
96,80,8M 23S
97,80,7M 46S
98,80,7M 46S
98,82,7M 23S
100,82,7M 5S
100,85,6M 28S
100,86,6M 2S
100,87,6M 2S
100,89,5M 39S
103,89,5M 13S
103,90,4M 55S
103,91,4M 55S
103,92,3M 57S
103,94,3M 27S
105,94,3M 13S
105,96,2M 38S
105,98,2M 1S
107,98,1M 37S
109,98,1M 14S
111,98,28S
111,101,25S
113,101,10S
End of 4th quarter,NA,0S
