Atlanta,New York,time_rem
4-1,1-4,48M 0S
0,0,47M 43S
2,0,47M 20S
4,0,46M 47S
6,0,46M 22S
6,3,45M 30S
8,3,45M 3S
8,4,44M 48S
8,5,44M 48S
10,5,44M 33S
10,8,44M 8S
10,10,43M 50S
12,10,43M 8S
13,10,43M 8S
15,10,42M 3S
15,13,41M 38S
17,13,41M 17S
18,13,40M 4S
18,15,39M 10S
18,17,38M 47S
18,19,38M 15S
21,19,37M 59S
21,20,36M 50S
21,21,36M 50S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,21,35M 20S
23,24,35M 9S
23,27,34M 14S
25,27,33M 42S
26,27,33M 11S
29,27,31M 48S
29,29,31M 30S
31,29,31M 13S
31,31,30M 11S
33,31,30M 4S
33,32,29M 43S
33,33,29M 43S
36,33,29M 21S
36,35,28M 55S
38,35,28M 32S
38,37,28M 20S
40,37,28M 4S
41,37,27M 24S
43,37,27M 11S
43,40,26M 47S
45,40,26M 26S
45,42,26M 8S
46,42,26M 3S
47,42,26M 3S
48,42,26M 3S
48,45,25M 52S
49,45,25M 37S
50,45,25M 37S
51,45,24M 54S
52,45,24M 54S
52,47,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,47,24M 0S
53,50,23M 48S
55,50,22M 27S
57,50,21M 44S
59,50,21M 10S
62,50,19M 58S
62,52,19M 42S
64,52,19M 29S
64,53,19M 16S
64,54,19M 16S
66,54,18M 54S
66,56,16M 55S
67,56,16M 35S
67,58,15M 45S
69,58,15M 24S
72,58,14M 43S
74,58,13M 53S
74,61,12M 50S
74,62,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,63,11M 52S
74,64,11M 52S
77,64,10M 54S
77,66,10M 19S
77,68,9M 44S
79,68,9M 24S
79,70,9M 3S
81,70,8M 44S
82,70,8M 27S
82,71,7M 48S
85,71,7M 35S
86,71,7M 12S
87,71,7M 12S
87,72,6M 28S
87,73,6M 28S
89,73,6M 10S
92,73,5M 44S
92,75,4M 55S
94,75,4M 35S
94,78,4M 5S
95,78,3M 35S
96,78,3M 35S
96,80,3M 16S
96,82,2M 40S
96,85,2M 22S
98,85,1M 59S
98,86,1M 39S
101,86,43S
101,89,32S
102,89,12S
103,89,12S
End of 4th quarter,NA,0S
