Utah,LA Clippers,time_rem
2-4,4-2,48M 0S
0,0,47M 35S
2,0,47M 28S
2,3,47M 13S
5,3,46M 52S
5,5,45M 56S
7,5,45M 41S
7,8,45M 21S
10,8,45M 5S
10,9,44M 34S
10,10,44M 34S
10,12,44M 9S
10,14,43M 40S
13,14,43M 10S
13,16,42M 44S
14,16,42M 26S
15,16,42M 26S
17,16,42M 2S
19,16,41M 23S
19,18,40M 43S
19,21,40M 11S
21,21,39M 58S
21,23,39M 41S
24,23,39M 14S
27,23,38M 38S
27,25,38M 13S
29,25,38M 1S
32,25,37M 21S
33,25,37M 21S
33,28,36M 40S
33,29,36M 2S
33,30,36M 2S
33,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,31,35M 48S
35,34,35M 31S
37,34,35M 16S
37,36,34M 54S
37,38,34M 3S
39,38,33M 34S
39,40,33M 17S
41,40,32M 57S
43,40,32M 4S
44,40,31M 17S
45,40,31M 17S
46,40,31M 17S
49,40,30M 58S
51,40,30M 33S
51,42,30M 15S
53,42,29M 53S
55,42,29M 25S
57,42,29M 3S
60,42,28M 37S
60,43,27M 43S
60,45,27M 12S
63,45,26M 54S
63,48,25M 49S
66,48,25M 34S
69,48,24M 53S
69,49,24M 42S
69,50,24M 42S
72,50,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,50,23M 36S
75,52,23M 12S
75,55,22M 16S
75,57,21M 50S
75,59,21M 26S
75,61,21M 10S
78,61,21M 0S
78,64,20M 48S
81,64,20M 25S
83,64,19M 40S
85,64,19M 13S
85,67,18M 54S
88,67,18M 37S
88,69,18M 26S
88,71,18M 5S
90,71,17M 44S
90,73,17M 23S
90,74,16M 34S
90,75,16M 34S
90,78,16M 0S
90,80,15M 39S
90,83,15M 3S
90,84,14M 16S
90,85,14M 16S
90,88,13M 42S
92,88,13M 20S
93,88,12M 31S
94,88,12M 31S
94,91,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: P. George vs. J. Clarkson (N. Batum gains possession),NA,11M 22S
94,94,11M 14S
95,94,10M 51S
95,96,10M 36S
98,96,10M 14S
98,99,10M 2S
99,99,9M 50S
99,102,9M 34S
100,102,9M 17S
100,104,9M 4S
100,107,8M 40S
103,107,8M 24S
106,107,8M 1S
106,109,7M 35S
106,111,7M 0S
106,113,6M 18S
106,116,5M 33S
108,116,5M 17S
109,116,5M 17S
109,118,5M 1S
112,118,4M 45S
114,118,4M 7S
114,120,3M 51S
114,123,3M 6S
115,123,2M 53S
115,125,2M 33S
118,125,1M 39S
118,128,1M 15S
119,128,1M 8S
119,129,50S
119,130,37S
119,131,37S
End of 4th quarter,NA,0S
