Dallas,Charlotte,time_rem
6-4,6-6,48M 0S
3,0,47M 35S
3,3,46M 28S
6,3,46M 15S
6,5,45M 7S
9,5,45M 1S
11,5,44M 33S
11,7,44M 8S
13,7,42M 53S
13,10,42M 35S
16,10,42M 20S
18,10,41M 40S
18,12,41M 23S
20,12,40M 38S
20,14,40M 2S
22,14,39M 44S
22,15,38M 44S
22,16,38M 44S
24,16,38M 23S
26,16,38M 4S
27,16,37M 29S
28,16,37M 29S
30,16,36M 33S
32,16,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,18,35M 16S
34,18,34M 8S
36,18,33M 31S
36,20,32M 42S
36,21,32M 27S
36,22,32M 27S
36,24,31M 44S
39,24,31M 28S
42,24,30M 57S
42,26,30M 22S
42,28,29M 16S
44,28,29M 0S
46,28,28M 30S
46,31,27M 28S
49,31,27M 14S
49,34,27M 1S
49,36,26M 31S
49,38,26M 4S
52,38,25M 52S
55,38,25M 31S
55,41,25M 6S
57,41,24M 39S
57,43,24M 33S
60,43,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,43,23M 27S
63,44,23M 13S
66,44,23M 1S
66,47,22M 47S
66,49,22M 16S
66,50,21M 52S
66,53,21M 32S
66,56,21M 8S
67,56,20M 54S
68,56,20M 54S
71,56,20M 16S
71,58,19M 20S
71,60,18M 39S
71,62,18M 33S
72,62,17M 19S
74,62,16M 57S
76,62,16M 1S
76,64,15M 17S
78,64,14M 59S
78,66,14M 47S
81,66,14M 30S
83,66,14M 13S
84,66,13M 51S
84,69,13M 32S
87,69,13M 15S
87,72,13M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,72,12M 0S
90,72,11M 55S
92,72,11M 20S
92,74,10M 9S
92,76,9M 34S
92,78,8M 34S
94,78,8M 16S
95,78,8M 16S
95,80,5M 38S
97,80,4M 50S
97,82,4M 36S
99,82,4M 15S
99,84,3M 54S
101,84,3M 31S
101,86,3M 13S
103,86,2M 10S
103,88,1M 29S
104,88,1M 15S
104,90,1M 1S
104,91,21S
104,93,7S
End of 4th quarter,NA,0S
