Philadelphia,Phoenix,time_rem
18-9,16-9,48M 0S
0,0,47M 30S
2,0,47M 10S
2,2,46M 46S
5,2,46M 38S
5,4,45M 9S
6,4,44M 52S
6,6,44M 43S
6,8,44M 26S
8,8,44M 14S
8,10,43M 55S
9,10,43M 35S
10,10,43M 35S
10,12,43M 17S
12,12,42M 36S
13,12,42M 36S
15,12,41M 59S
17,12,41M 40S
17,14,40M 12S
20,14,39M 55S
21,14,39M 25S
22,14,39M 25S
22,16,38M 44S
24,16,38M 28S
24,19,38M 13S
24,21,37M 6S
24,23,36M 36S
26,23,36M 25S
28,23,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,23,35M 46S
30,25,35M 26S
31,25,35M 9S
32,25,35M 9S
32,27,34M 53S
32,29,34M 34S
33,29,34M 22S
34,29,34M 22S
34,30,34M 4S
34,31,34M 4S
36,31,32M 30S
36,33,31M 46S
36,34,31M 46S
36,36,30M 58S
37,36,30M 6S
38,36,30M 6S
38,39,29M 22S
40,39,29M 0S
40,41,28M 50S
42,41,28M 36S
42,43,28M 13S
44,43,27M 56S
44,45,27M 47S
46,45,27M 16S
47,45,26M 33S
47,47,26M 19S
49,47,26M 6S
49,48,25M 45S
49,49,25M 45S
50,49,25M 35S
51,49,25M 35S
51,51,25M 18S
51,53,24M 46S
53,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,55,23M 33S
55,55,23M 14S
55,57,22M 53S
55,60,22M 18S
57,60,22M 4S
57,62,21M 51S
59,62,21M 37S
59,63,21M 27S
61,63,21M 8S
63,63,20M 41S
63,65,20M 27S
65,65,20M 7S
67,65,19M 48S
67,67,19M 32S
69,67,18M 45S
72,67,18M 3S
72,70,17M 25S
73,70,17M 10S
74,70,17M 10S
74,73,16M 55S
76,73,16M 35S
76,75,16M 16S
76,76,15M 8S
76,77,15M 8S
76,79,14M 47S
76,80,14M 47S
76,82,14M 6S
76,83,13M 37S
78,83,13M 19S
78,86,12M 50S
81,86,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,89,11M 16S
81,92,10M 42S
82,92,10M 25S
83,92,10M 25S
85,92,9M 57S
85,94,9M 12S
87,94,8M 56S
87,96,8M 40S
89,96,8M 18S
89,98,7M 59S
89,99,7M 55S
89,100,7M 55S
92,100,7M 17S
92,102,6M 40S
93,102,6M 30S
94,102,6M 15S
95,102,6M 15S
97,102,5M 38S
97,103,5M 23S
97,104,5M 23S
97,106,5M 2S
97,109,4M 10S
98,109,3M 58S
99,109,3M 58S
99,111,3M 45S
99,113,3M 16S
102,113,2M 51S
102,116,1M 55S
103,116,1M 51S
104,116,1M 51S
104,118,1M 31S
105,118,1M 22S
106,118,1M 22S
109,118,53S
109,120,38S
111,120,28S
End of 4th quarter,NA,0S
