Minnesota,New York,time_rem
7-24,15-16,48M 0S
0,0,47M 40S
3,0,47M 15S
3,2,46M 53S
6,2,46M 40S
8,2,46M 15S
8,3,46M 5S
8,5,45M 38S
8,7,45M 15S
11,7,45M 1S
11,9,44M 50S
11,10,44M 22S
11,11,44M 22S
13,11,43M 58S
13,13,43M 47S
13,15,43M 10S
15,15,42M 38S
Jump ball: N. Noel vs. K. Towns (E. Payton gains possession),NA,42M 6S
15,17,41M 19S
15,18,40M 36S
15,19,40M 36S
18,19,40M 15S
18,21,40M 4S
18,24,39M 34S
18,26,38M 31S
18,29,36M 51S
18,30,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,30,35M 17S
20,30,35M 17S
21,30,34M 52S
22,30,34M 52S
22,32,34M 37S
22,33,34M 8S
22,34,34M 8S
24,34,33M 49S
26,34,32M 50S
26,36,32M 33S
27,36,32M 14S
30,36,31M 52S
30,38,31M 38S
33,38,30M 45S
33,40,30M 18S
35,40,29M 40S
36,40,29M 7S
36,41,28M 59S
36,42,28M 59S
36,44,28M 0S
37,44,27M 45S
38,44,27M 45S
38,47,27M 30S
39,47,27M 18S
40,47,27M 18S
40,48,27M 4S
40,49,27M 4S
43,49,26M 42S
43,51,26M 26S
43,53,25M 50S
43,54,25M 50S
45,54,25M 38S
45,55,25M 27S
45,56,25M 27S
48,56,25M 14S
48,57,24M 59S
48,58,24M 59S
50,58,24M 49S
50,61,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,61,23M 28S
53,61,23M 28S
53,63,23M 5S
53,65,22M 20S
53,66,21M 59S
53,67,21M 59S
56,67,21M 49S
58,67,21M 9S
58,68,20M 34S
58,70,20M 20S
58,73,19M 37S
58,75,19M 15S
60,75,19M 6S
60,78,18M 12S
Jump ball: E. Payton vs. R. Rubio (R. Bullock gains possession),NA,17M 40S
62,78,17M 10S
62,80,16M 53S
65,80,16M 37S
65,82,15M 31S
65,84,14M 29S
65,85,13M 48S
65,86,13M 48S
67,86,13M 30S
67,87,13M 16S
70,87,12M 37S
71,87,12M 37S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,87,11M 18S
74,87,11M 18S
77,87,10M 27S
77,89,10M 11S
79,89,9M 41S
Jump ball: D. Rose vs. M. Beasley (J. Randle gains possession),NA,9M 18S
79,90,9M 6S
79,91,9M 6S
82,91,8M 56S
85,91,8M 18S
88,91,7M 50S
88,93,5M 58S
91,93,5M 17S
91,95,4M 51S
93,95,4M 1S
94,95,4M 1S
96,95,2M 48S
96,97,1M 59S
97,97,1M 44S
98,97,1M 44S
98,98,32S
98,99,32S
98,100,20S
98,101,20S
99,101,17S
99,102,12S
99,103,12S
End of 4th quarter,NA,0S
