Sacramento,Cleveland,time_rem
18-25,16-27,48M 0S
0,2,47M 34S
2,2,47M 14S
2,4,47M 2S
4,4,46M 52S
7,4,46M 31S
7,6,46M 4S
7,8,45M 40S
9,8,45M 24S
12,8,44M 54S
12,10,44M 22S
12,12,44M 3S
14,12,43M 32S
16,12,43M 9S
18,12,42M 46S
18,15,42M 18S
21,15,41M 56S
23,15,41M 32S
23,17,41M 24S
24,17,41M 16S
24,19,40M 55S
26,19,40M 38S
26,21,40M 18S
26,23,39M 40S
29,23,39M 15S
29,25,38M 53S
31,25,38M 36S
31,27,38M 22S
31,30,37M 54S
34,30,37M 42S
34,31,37M 20S
34,32,37M 20S
34,34,36M 52S
34,35,36M 40S
36,35,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,35,35M 40S
38,37,34M 59S
40,37,34M 28S
40,39,34M 7S
40,41,33M 52S
42,41,33M 36S
42,43,33M 11S
44,43,33M 7S
46,43,32M 31S
46,44,32M 12S
46,45,32M 12S
46,47,31M 55S
48,47,31M 47S
48,48,31M 29S
48,49,31M 29S
49,49,30M 53S
49,51,30M 17S
49,52,30M 17S
52,52,29M 1S
54,52,28M 33S
54,54,28M 4S
54,56,27M 18S
56,56,27M 1S
56,58,26M 34S
59,58,26M 9S
59,59,25M 50S
61,59,25M 35S
63,59,24M 54S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,59,23M 46S
67,59,23M 15S
67,61,22M 59S
69,61,22M 51S
69,62,22M 49S
72,62,22M 23S
72,64,22M 9S
72,66,21M 45S
72,67,21M 18S
72,68,21M 18S
74,68,20M 57S
77,68,20M 18S
79,68,19M 56S
81,68,18M 27S
83,68,15M 35S
86,68,15M 0S
86,70,14M 23S
88,70,14M 2S
88,72,12M 58S
88,74,12M 40S
89,74,12M 31S
90,74,12M 31S
90,75,12M 8S
90,76,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,79,11M 48S
92,79,11M 31S
92,81,10M 55S
92,83,10M 30S
94,83,10M 19S
95,83,10M 19S
95,85,9M 51S
95,86,9M 27S
95,87,9M 27S
97,87,9M 7S
98,87,8M 49S
99,87,8M 49S
99,89,8M 30S
102,89,7M 52S
104,89,7M 19S
104,91,6M 40S
104,92,5M 0S
106,92,4M 45S
106,94,4M 19S
109,94,4M 2S
109,95,3M 40S
112,95,3M 18S
114,95,2M 45S
114,98,2M 34S
114,100,2M 14S
116,100,2M 7S
117,100,2M 7S
117,102,1M 30S
117,103,1M 30S
119,103,1M 8S
119,105,27S
End of 4th quarter,NA,0S
