New Orleans,Indiana,time_rem
9-12,12-11,48M 0S
0,3,47M 46S
2,3,47M 36S
4,3,47M 2S
4,4,46M 38S
4,5,46M 38S
6,5,46M 27S
8,5,46M 0S
8,8,45M 35S
8,10,45M 3S
Jump ball: M. Turner vs. S. Adams (J. Holiday gains possession),NA,44M 48S
10,10,43M 59S
11,10,43M 59S
11,12,43M 47S
13,12,43M 29S
13,14,43M 15S
16,14,43M 1S
16,16,42M 39S
19,16,42M 21S
21,16,40M 37S
21,19,40M 17S
23,19,40M 0S
25,19,39M 53S
25,21,39M 18S
25,23,38M 51S
25,25,37M 44S
25,26,37M 23S
26,26,37M 15S
27,26,37M 15S
27,28,37M 5S
27,30,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,30,35M 36S
29,31,35M 19S
29,32,35M 19S
32,32,35M 3S
34,32,34M 37S
34,34,34M 23S
37,34,34M 12S
Jump ball: Z. Williamson vs. D. Sabonis (J. Hart gains possession),NA,33M 27S
40,34,33M 20S
40,35,33M 4S
40,36,33M 4S
42,36,32M 25S
42,38,31M 45S
42,41,31M 13S
43,41,30M 26S
44,41,30M 26S
45,41,29M 50S
45,43,29M 38S
47,43,29M 22S
47,44,28M 59S
49,44,28M 35S
49,46,28M 24S
51,46,28M 5S
52,46,27M 33S
53,46,27M 33S
55,46,26M 34S
55,47,25M 26S
57,47,24M 49S
57,48,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,50,23M 24S
57,53,22M 52S
60,53,22M 38S
60,55,21M 55S
62,55,21M 0S
62,56,20M 43S
64,56,20M 27S
64,58,20M 15S
66,58,19M 27S
67,58,18M 57S
68,58,18M 57S
70,58,18M 36S
71,58,18M 36S
71,60,18M 18S
74,60,17M 33S
76,60,16M 43S
76,63,16M 33S
78,63,14M 56S
81,63,14M 33S
81,66,14M 19S
81,69,13M 46S
82,69,12M 58S
83,69,12M 58S
84,69,12M 58S
84,72,12M 21S
86,72,12M 7S
86,75,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,77,11M 24S
89,77,10M 28S
89,80,10M 12S
89,83,9M 39S
91,83,9M 10S
91,86,8M 33S
94,86,8M 6S
94,89,7M 46S
94,91,7M 14S
95,91,7M 1S
96,91,7M 1S
96,93,6M 44S
99,93,5M 55S
99,96,5M 41S
101,96,5M 17S
101,99,5M 3S
101,102,4M 39S
104,102,4M 17S
104,105,4M 2S
105,105,3M 48S
106,105,3M 25S
107,105,3M 25S
107,107,3M 12S
110,107,2M 3S
110,110,1M 54S
112,110,1M 15S
114,110,42S
114,113,39S
End of 4th quarter,NA,0S
