Memphis,Sacramento,time_rem
11-11,12-14,48M 0S
0,2,47M 43S
2,2,46M 56S
4,2,46M 28S
7,2,45M 37S
9,2,45M 6S
10,2,45M 6S
13,2,44M 40S
13,4,44M 18S
15,4,43M 59S
15,6,43M 34S
15,8,42M 57S
15,10,42M 37S
17,10,42M 22S
17,12,42M 14S
19,12,41M 40S
21,12,41M 11S
21,14,40M 51S
23,14,40M 16S
25,14,39M 17S
25,16,38M 35S
25,18,38M 14S
27,18,37M 56S
30,18,37M 23S
30,19,37M 13S
30,22,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,22,34M 52S
33,22,34M 52S
35,22,34M 22S
35,25,34M 5S
35,28,33M 34S
35,30,32M 59S
37,30,32M 47S
37,31,31M 26S
39,31,31M 12S
40,31,30M 45S
41,31,30M 45S
43,31,30M 13S
45,31,29M 57S
47,31,29M 27S
47,34,29M 17S
49,34,29M 3S
49,36,28M 46S
51,36,27M 50S
51,38,27M 43S
53,38,27M 23S
53,39,27M 13S
53,40,27M 13S
55,40,27M 0S
55,41,26M 27S
55,42,26M 27S
55,43,25M 59S
55,44,25M 59S
56,44,25M 50S
57,44,25M 50S
59,44,24M 50S
62,44,24M 4S
62,46,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,48,23M 23S
64,48,22M 35S
64,50,22M 18S
64,51,22M 18S
64,53,21M 53S
66,53,21M 37S
66,54,21M 31S
66,55,21M 31S
69,55,21M 3S
71,55,20M 13S
71,58,19M 59S
74,58,19M 46S
74,60,19M 32S
77,60,19M 18S
77,61,19M 4S
77,63,18M 43S
79,63,18M 31S
80,63,18M 2S
81,63,18M 2S
81,64,17M 42S
81,65,17M 42S
83,65,17M 8S
83,67,16M 41S
85,67,16M 19S
85,69,16M 2S
87,69,15M 51S
87,71,15M 26S
90,71,15M 6S
90,72,14M 52S
91,72,14M 44S
92,72,14M 44S
94,72,14M 15S
96,72,13M 57S
96,74,13M 34S
96,76,13M 4S
97,76,12M 49S
97,79,12M 33S
98,79,12M 11S
99,79,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,82,11M 40S
99,84,10M 26S
101,84,10M 8S
103,84,9M 48S
Jump ball: H. Whiteside vs. B. Clarke (N. Bjelica gains possession),NA,9M 33S
103,85,9M 21S
105,85,9M 4S
105,87,8M 51S
107,87,8M 27S
107,89,8M 6S
109,89,7M 44S
109,91,7M 30S
109,94,7M 8S
112,94,6M 33S
112,96,6M 22S
112,98,5M 54S
113,98,5M 18S
114,98,5M 18S
114,100,5M 8S
114,102,4M 38S
114,103,4M 38S
116,103,4M 24S
116,104,3M 52S
116,105,3M 52S
118,105,3M 32S
118,107,3M 18S
118,108,3M 17S
120,108,2M 57S
122,108,1M 51S
124,108,1M 22S
124,110,1M 12S
End of 4th quarter,NA,0S
