Washington,Memphis,time_rem
14-21,17-16,48M 0S
2,0,47M 49S
2,3,47M 28S
2,6,46M 41S
5,6,46M 6S
5,8,45M 46S
7,8,45M 30S
7,10,45M 10S
7,12,44M 36S
9,12,44M 4S
9,13,43M 50S
9,15,43M 27S
9,17,42M 56S
9,19,42M 25S
11,19,42M 12S
11,21,41M 45S
12,21,41M 28S
13,21,41M 28S
13,23,41M 16S
13,24,40M 59S
13,25,40M 59S
14,25,40M 43S
15,25,40M 43S
15,27,40M 24S
17,27,40M 8S
20,27,39M 39S
20,29,39M 0S
20,31,38M 4S
22,31,37M 53S
22,33,37M 40S
22,35,37M 15S
24,35,36M 38S
26,35,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,37,35M 45S
27,37,35M 32S
28,37,35M 32S
28,39,35M 13S
30,39,35M 2S
30,41,34M 46S
30,43,34M 24S
33,43,34M 10S
35,43,33M 42S
35,44,33M 33S
36,44,32M 17S
37,44,32M 17S
37,45,31M 41S
37,46,31M 41S
37,48,31M 22S
37,49,31M 2S
37,50,31M 2S
37,52,30M 44S
37,54,30M 13S
38,54,30M 2S
39,54,30M 2S
39,55,29M 37S
41,55,29M 23S
41,56,29M 18S
41,57,29M 18S
41,60,28M 51S
43,60,28M 34S
43,61,28M 9S
44,61,28M 4S
45,61,28M 4S
45,62,27M 50S
47,62,27M 34S
49,62,26M 54S
49,64,26M 38S
51,64,26M 22S
53,64,25M 58S
54,64,25M 58S
57,64,25M 37S
57,65,25M 21S
58,65,24M 40S
59,65,24M 40S
59,67,24M 30S
62,67,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,67,23M 20S
64,69,23M 9S
64,71,22M 38S
65,71,22M 2S
66,71,22M 2S
67,71,22M 2S
68,71,21M 29S
69,71,21M 29S
69,73,20M 10S
72,73,20M 1S
74,73,19M 26S
Jump ball: J. Valančiūnas vs. M. Wagner (J. Morant gains possession),NA,19M 7S
74,75,17M 49S
76,75,17M 37S
76,77,17M 26S
76,78,17M 26S
79,78,17M 18S
79,80,16M 57S
79,81,16M 57S
79,82,16M 40S
79,84,16M 6S
82,84,15M 51S
82,86,15M 7S
82,88,14M 44S
82,91,14M 12S
82,92,13M 47S
82,94,13M 3S
83,94,12M 49S
85,94,12M 39S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,94,11M 25S
88,96,11M 8S
90,96,9M 55S
90,98,9M 31S
91,98,9M 12S
92,98,9M 12S
92,101,8M 55S
94,101,8M 36S
94,103,8M 19S
97,103,8M 0S
97,105,7M 27S
97,107,7M 5S
97,108,7M 5S
99,108,6M 47S
99,110,5M 56S
99,112,5M 24S
99,114,4M 50S
101,114,4M 13S
103,114,3M 50S
103,117,3M 26S
103,119,2M 33S
105,119,2M 20S
107,119,2M 0S
108,119,1M 58S
109,119,1M 58S
109,122,1M 24S
109,125,56S
112,125,45S
112,127,30S
End of 4th quarter,NA,0S
