New Orleans,Charlotte,time_rem
31-37,33-35,48M 0S
3,0,47M 44S
3,3,46M 55S
5,3,46M 28S
5,5,46M 7S
7,5,45M 27S
10,5,44M 53S
12,5,43M 28S
14,5,43M 11S
15,5,43M 11S
15,7,42M 36S
15,10,41M 45S
15,12,41M 30S
15,14,41M 3S
17,14,40M 45S
17,16,40M 42S
19,16,40M 22S
21,16,40M 5S
21,18,39M 50S
21,20,39M 21S
21,21,39M 21S
24,21,38M 45S
26,21,38M 21S
26,23,37M 23S
28,23,37M 18S
29,23,37M 18S
29,24,36M 58S
29,25,36M 58S
31,25,36M 25S
34,25,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,27,35M 42S
34,29,35M 6S
36,29,34M 9S
Jump ball: C. Zeller vs. W. Gabriel (T. Rozier gains possession),NA,33M 48S
36,31,33M 39S
36,34,33M 10S
38,34,32M 56S
38,36,32M 36S
38,38,32M 6S
40,38,31M 48S
40,39,31M 16S
40,40,31M 16S
43,40,30M 57S
43,42,30M 47S
45,42,30M 34S
45,43,30M 21S
45,44,30M 21S
45,46,29M 39S
47,46,29M 14S
47,49,29M 3S
47,52,28M 41S
47,53,28M 38S
47,56,28M 1S
47,58,27M 30S
49,58,27M 14S
49,60,26M 36S
49,63,26M 0S
51,63,25M 29S
51,65,25M 7S
53,65,25M 1S
53,66,24M 33S
53,67,24M 33S
56,67,24M 9S
57,67,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,67,23M 15S
60,70,23M 0S
60,72,22M 18S
62,72,22M 10S
64,72,22M 1S
64,74,21M 52S
67,74,21M 41S
70,74,21M 8S
72,74,20M 51S
72,76,20M 42S
74,76,20M 24S
74,78,20M 11S
76,78,19M 51S
76,80,19M 7S
78,80,18M 34S
79,80,18M 34S
79,83,18M 21S
79,85,17M 14S
80,85,16M 35S
81,85,16M 35S
81,88,16M 18S
82,88,16M 9S
82,91,15M 57S
84,91,15M 0S
87,91,13M 59S
89,91,13M 14S
89,93,12M 32S
89,96,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,96,11M 51S
91,97,11M 33S
93,97,10M 26S
93,98,10M 14S
96,98,9M 23S
98,98,8M 48S
99,98,8M 35S
99,100,8M 12S
101,100,6M 45S
104,100,6M 7S
104,101,4M 49S
104,103,4M 15S
105,103,3M 17S
105,105,3M 4S
107,105,2M 45S
107,107,1M 57S
109,107,1M 42S
111,107,12S
112,107,5S
112,110,0S
End of 4th quarter,NA,0S
