New York,Detroit,time_rem
18-17,9-25,48M 0S
0,0,47M 48S
0,3,47M 18S
3,3,46M 23S
6,3,45M 43S
8,3,45M 11S
8,5,44M 2S
10,5,43M 29S
10,8,43M 10S
10,10,42M 6S
10,12,41M 38S
13,12,41M 22S
15,12,40M 23S
15,14,39M 17S
18,14,38M 30S
18,16,38M 0S
21,16,37M 44S
21,18,37M 15S
22,18,36M 44S
22,19,36M 4S
22,20,36M 4S
23,20,36M 0S
24,20,36M 0S
25,20,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,20,35M 6S
27,23,34M 21S
29,23,34M 6S
29,24,33M 44S
32,24,33M 18S
32,25,31M 38S
32,27,30M 59S
32,30,30M 21S
34,30,29M 59S
34,31,29M 43S
36,31,28M 41S
38,31,28M 23S
40,31,28M 2S
43,31,27M 29S
43,32,26M 3S
46,32,25M 47S
46,33,25M 29S
48,33,25M 8S
48,35,24M 45S
48,36,24M 34S
48,37,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,37,23M 50S
51,37,23M 50S
51,39,23M 32S
53,39,23M 5S
53,42,22M 52S
53,44,22M 6S
55,44,21M 49S
55,46,21M 37S
57,46,21M 22S
58,46,21M 22S
59,46,20M 50S
60,46,20M 50S
60,49,20M 30S
63,49,20M 2S
65,49,19M 10S
67,49,18M 32S
67,51,18M 9S
70,51,17M 49S
72,51,17M 4S
72,52,16M 50S
72,53,16M 50S
72,55,15M 44S
74,55,15M 26S
76,55,14M 58S
78,55,14M 34S
78,56,14M 19S
78,57,14M 19S
81,57,13M 56S
81,60,13M 32S
81,61,13M 9S
81,62,13M 9S
83,62,12M 55S
83,63,12M 36S
83,64,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,64,11M 8S
87,64,10M 40S
87,66,10M 0S
89,66,9M 48S
89,69,9M 21S
92,69,8M 55S
92,70,8M 43S
92,71,8M 43S
94,71,8M 20S
94,72,8M 9S
94,73,8M 9S
96,73,7M 55S
96,75,7M 30S
99,75,7M 5S
99,77,6M 47S
101,77,6M 31S
101,80,5M 38S
101,81,5M 17S
101,82,5M 17S
103,82,5M 0S
103,84,4M 41S
105,84,3M 43S
105,85,2M 57S
105,86,2M 57S
107,86,2M 38S
107,88,2M 5S
107,90,58S
109,90,40S
End of 4th quarter,NA,0S
